dimension,ntrials,n_repetitions,bias_iterations,resampling_seconds,shuffle_seconds,merged_seconds,venkatesh_seconds,eigenvalue_pid_seconds
4,256,100,20,60.498281477,56.756616679,117.254904031,2.647295680,2.832960436
12,256,100,20,274.198868789,212.033871068,486.232747059,13.328540077,3.929324754
20,256,100,20,837.539957087,712.480252467,1550.020218279,39.743178776,7.513385351
28,256,100,20,1249.262655309,1079.670345265,2328.933008410,88.654557821,10.705052984
36,256,100,20,1672.804225621,1689.128804740,3361.933039736,105.567395659,16.651804226
44,256,100,20,2072.344161726,2394.839295491,4467.183473016,122.197361225,24.893263140
52,256,100,20,3067.685358588,3679.185159023,6746.870526547,190.235673039,23.241974036
60,256,100,20,4196.348792034,5429.850282475,9626.199092196,297.617552696,38.464984683
68,256,100,20,5879.397451686,7167.534003052,13046.931464078,331.426067495,32.325010646
76,256,100,20,6107.131345175,9610.293670590,15717.425025087,422.720695663,41.791186732
84,256,100,20,7262.501973363,10179.365812406,17441.867794375,446.930068677,46.211653785
