swept_variable,swept_dimension,target_dim,source1_dim,source2_dim,method,minimum_eigenvalue,redundancy,unique_source1,unique_source2,synergy,I(source1;target),I(source2;target),"I(source1,source2;target)",runtime_seconds,max_abs_diff_vs_eigen
target,10,10,50,55,gpid_tilde,0.20871215252207986,5.000000240350866,1.4624060114520248,1.4624060114520248,2.075187195734479,6.462406251802891,6.462406251802891,9.999999458989395,0.7833996820263565,5.410106052039509e-07
target,10,10,50,55,thin_pid,0.20871215252207986,4.999999999996198,1.4624062518066934,1.4624062518066934,2.0751869553798103,6.462406251802891,6.462406251802891,9.999999458989395,6.940890181809664,5.410144074957657e-07
target,10,10,50,55,eigen_pid,0.20871215252207986,4.999999999999998,1.4624062518028915,1.462406251802892,2.075187496394218,6.46240625180289,6.46240625180289,10.0,0.024994251085445285,0.0
target,20,20,50,55,gpid_tilde,0.20871215252207986,10.000000480891066,2.9248120227147147,2.9248120227147147,4.1503743916582945,12.92481250360578,12.92481250360578,19.99999891797879,0.8192738119978458,1.0820212104079019e-06
target,20,20,50,55,thin_pid,0.20871215252207986,9.999999999992394,2.9248125036133867,2.9248125036133867,4.1503739107596225,12.92481250360578,12.92481250360578,19.99999891797879,7.121068231062964,1.0820288132151745e-06
target,20,20,50,55,eigen_pid,0.20871215252207986,9.999999999999996,2.924812503605784,2.924812503605784,4.150374992788436,12.92481250360578,12.92481250360578,20.0,0.06883347383700311,0.0
target,30,30,50,55,gpid_tilde,0.2087121525220796,15.000000721336594,4.387218034072074,4.387218034072074,6.225561587487459,19.387218755408668,19.387218755408668,29.9999983769682,1.1923609878867865,1.6230317854137866e-06
target,30,30,50,55,thin_pid,0.2087121525220796,14.999999999988585,4.387218755420083,4.387218755420083,6.22556086613945,19.387218755408668,19.387218755408668,29.9999983769682,7.551125766010955,1.6230431931774092e-06
target,30,30,50,55,eigen_pid,0.2087121525220796,14.999999999999993,4.387218755408675,4.387218755408675,6.225562489182643,19.387218755408668,19.387218755408668,29.999999999999986,0.10282762395218015,0.0
target,40,40,50,55,gpid_tilde,0.2087121525220782,20.000000961782114,5.849624045429444,5.84962404542944,8.300748783316621,25.84962500721156,25.849625007211557,39.99999783595762,0.8457892360165715,2.1640423781832396e-06
target,40,40,50,55,thin_pid,0.2087121525220782,19.999999999997065,5.849625007214492,5.849625007214488,8.300747821531573,25.84962500721156,25.849625007211557,39.99999783595762,7.409670467022806,2.1640452985138836e-06
target,40,40,50,55,eigen_pid,0.2087121525220782,20.0,5.849625007211566,5.849625007211568,8.300749985576871,25.849625007211564,25.849625007211564,40.0,0.13196883513592184,0.0
target,50,50,50,55,gpid_tilde,0.20871215252207864,25.00000120222763,7.312030056786817,7.312030056786817,10.375935979145758,32.31203125901445,32.31203125901445,49.99999729494702,1.0063491850160062,2.70505297805812e-06
target,50,50,50,55,thin_pid,0.20871215252207864,24.999999999996312,7.312031259018134,7.312031259018134,10.375934776914441,32.31203125901445,32.31203125901445,49.99999729494702,7.517021665116772,2.705056651564064e-06
target,50,50,50,55,eigen_pid,0.20871215252207864,24.999999999999993,7.312031259014457,7.312031259014459,10.375937481971093,32.312031259014454,32.312031259014454,50.0,0.1429444351233542,0.0
target,60,60,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,0.9553508248645812,2.9094347482327976e-06
target,60,60,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.3479883891996,2.909438414633314e-06
target,60,60,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.10500460397452116,0.0
target,70,70,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,0.7892666850239038,2.9094347482327976e-06
target,70,70,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.382018195930868,2.909438414633314e-06
target,70,70,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.1120418959762901,0.0
target,80,80,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,1.039629362989217,2.9094347482327976e-06
target,80,80,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.6287746950984,2.909438414633314e-06
target,80,80,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.14757410786114633,0.0
target,90,90,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,1.078590887133032,2.9094347482327976e-06
target,90,90,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.7245455528609455,2.909438414633314e-06
target,90,90,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.21282812696881592,0.0
target,100,100,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,0.9224367549177259,2.9094347482327976e-06
target,100,100,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,8.121908666100353,2.909438414633314e-06
target,100,100,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.22452805400826037,0.0
target,110,110,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,1.1517556458711624,2.9094347482327976e-06
target,110,110,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.496627510059625,2.909438414633314e-06
target,110,110,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.20469990582205355,0.0
target,120,120,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,1.3418560489080846,2.9094347482327976e-06
target,120,120,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.595556158106774,2.909438414633314e-06
target,120,120,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.3017707709223032,0.0
target,130,130,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,1.8634458021260798,2.9094347482327976e-06
target,130,130,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.630788561189547,2.909438414633314e-06
target,130,130,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.35090571409091353,0.0
target,140,140,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,1.5670065011363477,2.9094347482327976e-06
target,140,140,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.756270017940551,2.909438414633314e-06
target,140,140,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.3079132721759379,0.0
target,150,150,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,1.7609639018774033,2.9094347482327976e-06
target,150,150,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.7076127249747515,2.909438414633314e-06
target,150,150,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.31471037212759256,0.0
target,160,160,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,1.8286534410435706,2.9094347482327976e-06
target,160,160,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.913640204118565,2.909438414633314e-06
target,160,160,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.30487994011491537,0.0
target,170,170,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,3.187135329004377,2.9094347482327976e-06
target,170,170,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.708363014040515,2.909438414633314e-06
target,170,170,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.354843697976321,0.0
target,180,180,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,3.114424256142229,2.9094347482327976e-06
target,180,180,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.9110909721348435,2.909438414633314e-06
target,180,180,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.45381217706017196,0.0
target,190,190,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,4.0419252349529415,2.9094347482327976e-06
target,190,190,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,7.954335574992001,2.909438414633314e-06
target,190,190,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.39293875801377,0.0
target,200,200,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,17.868941711029038,2.9094347482327976e-06
target,200,200,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,8.523371076909825,2.909438414633314e-06
target,200,200,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014458,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.5890280769672245,0.0
target,210,210,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,16.862055192003027,2.9094347482327976e-06
target,210,210,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,8.248479183064774,2.909438414633314e-06
target,210,210,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.5210039110388607,0.0
target,220,220,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,17.917854849947616,2.9094347482327976e-06
target,220,220,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,9.51657719607465,2.909438414633314e-06
target,220,220,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014457,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.8909488539211452,0.0
target,230,230,50,55,gpid_tilde,0.20871215252207864,25.000001202227637,7.312030056786817,10.396992557507971,10.375935774763981,32.31203125901445,35.3969937597356,53.0849595912864,29.46295341406949,2.9094347482327976e-06
target,230,230,50,55,thin_pid,0.20871215252207864,24.99999999999632,7.312031259018134,10.396993759739289,10.375934572532664,32.31203125901445,35.3969937597356,53.0849595912864,10.75940009392798,2.909438414633314e-06
target,230,230,50,55,eigen_pid,0.20871215252207864,25.0,7.312031259014456,10.396993759735615,10.375937481971079,32.312031259014454,35.396993759735615,53.08496250072115,0.7540233710315078,0.0
