swept_variable,swept_dimension,target_dim,source1_dim,source2_dim,method,minimum_eigenvalue,redundancy,unique_source1,unique_source2,synergy,I(source1;target),I(source2;target),"I(source1,source2;target)",runtime_seconds,max_abs_diff_vs_eigen
source1,10,50,10,55,gpid_tilde,0.2087121525220787,3.304820237218408,0.0,29.00721102179604,1.4624040977792134,3.304820237218406,32.31203125901445,33.77443535679366,0.2319759288802743,2.154023682976458e-06
source1,10,50,10,55,thin_pid,0.2087121525220787,3.304820236017278,1.2011298622383038e-09,29.00721102299717,1.4624040965780836,3.304820237218406,32.31203125901445,33.77443535679366,0.2506726300343871,2.155224805733269e-06
source1,10,50,10,55,eigen_pid,0.2087121525220787,3.3048202372184052,0.0,29.00721102179605,1.4624062518028893,3.3048202372184057,32.312031259014454,33.77443751081734,0.04957207012921572,0.0
source1,20,50,20,55,gpid_tilde,0.20871215252207725,6.609640474436816,0.0,25.702390784577634,2.9248102994885343,6.609640474436812,32.31203125901445,35.23684155850298,0.21724513894878328,2.204117258486349e-06
source1,20,50,20,55,thin_pid,0.20871215252207725,6.6096404733246885,1.1121272791569936e-09,25.70239078568976,2.924810298376407,6.609640474436812,32.31203125901445,35.23684155850298,0.2533893929794431,2.2052293786600785e-06
source1,20,50,20,55,eigen_pid,0.20871215252207725,6.6096404744368105,0.0,25.702390784577645,2.9248125036057857,6.609640474436811,32.312031259014454,35.23684376262024,0.03662804700434208,0.0
source1,30,50,30,55,gpid_tilde,0.20871215252207878,9.914460711655224,0.0,22.397570547359223,4.387216501197862,9.914460711655222,32.31203125901445,36.69924776021231,0.34723576717078686,2.254210819785385e-06
source1,30,50,30,55,thin_pid,0.20871215252207878,9.914460710457135,1.1980887393292505e-09,22.39757054855731,4.387216499999774,9.914460711655222,32.31203125901445,36.69924776021231,0.3053922459948808,2.255408901419287e-06
source1,30,50,30,55,eigen_pid,0.20871215252207878,9.914460711655217,0.0,22.397570547359237,4.387218755408675,9.914460711655218,32.312031259014454,36.69925001442313,0.058564579114317894,0.0
source1,40,50,40,55,gpid_tilde,0.20871215252207861,13.219280948873624,0.0,19.092750310140822,5.849622702907162,13.219280948873624,32.31203125901445,38.16165396192161,0.39625771692954004,2.3043044095061305e-06
