model_1,model_2,layer_1,layer_2,subj_id,n_samples,n_components_source_1,n_components_source_2,n_components_target,pid_method,rng_seed,bias_correction,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
levit_128_classification,coat_lite_tiny_classification,181,219,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.7095531984114167,1.1517797644400005,8.926315813948396,9.635869012359812,10.787648776799813
levit_128_classification,visformer_small_classification,181,163,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.6161817706713073,1.1859608360427636,8.926315813948396,9.542497584619703,10.728458420662466
levit_128_classification,convit_base_classification,181,201,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.21685418266394052,1.5967673322281541,8.926315813948396,9.143169996612336,10.73993732884049
levit_128_classification,RN50_clip,181,179,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,1.2239311585500232,1.0272660781972185,8.926315813948396,10.150246972498419,11.177513050695637
levit_128_classification,RN101_clip,181,366,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.9440518380010054,1.394529867906808,8.926315813948396,9.870367651949401,11.26489751985621
levit_128_classification,ResNet50-SimCLR_selfsupervised,181,162,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.48935432294744885,1.4049148867210732,8.926315813948396,9.415670136895844,10.820585023616918
levit_128_classification,ResNet50-DeepClusterV2-2x224_selfsupervised,181,162,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.3734172204391264,1.397429446067381,8.926315813948396,9.299733034387522,10.697162480454903
levit_128_classification,ResNet50-SwAV-BS4096-2x224_selfsupervised,181,165,,1000,70,70,70,tilde,56,True,8.873800955633875,0.052514858314520296,0.0,1.3138770320146342,8.926315813948396,8.873800955633875,10.24019284596303
levit_128_classification,ResNet50-PIRL_selfsupervised,181,165,,1000,70,70,70,tilde,56,True,8.46484450131948,0.46147131262891605,0.0,1.4554043607404559,8.926315813948396,8.46484450131948,10.381720174688851
levit_128_classification,ResNet50-ClusterFit-16K-RotNet_selfsupervised,181,160,,1000,70,70,70,tilde,56,True,7.840290346845627,1.0860254671027691,0.0,1.1370977662359678,8.926315813948396,7.840290346845626,10.063413580184363
levit_128_classification,ResNet50-MoCoV2-BS256_selfsupervised,181,155,,1000,70,70,70,tilde,56,True,8.841811357817198,0.08450445613119761,0.06240602295987152,1.5894087825281762,8.926315813948396,8.90421738077707,10.578130619436443
levit_128_classification,nf_resnet50_classification,181,141,,1000,70,70,70,tilde,56,True,8.67746082024664,0.24885499370175523,0.0,1.4975909644385546,8.926315813948396,8.67746082024664,10.42390677838695
levit_128_classification,hardcorenas_f_classification,181,294,,1000,70,70,70,tilde,56,True,8.670433523843261,0.2558822901051343,0.0,1.5171846543938692,8.926315813948396,8.670433523843261,10.443500468342265
levit_128_classification,eca_nfnet_l0_classification,181,134,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,1.6880675547014867,0.8718720630183476,8.926315813948396,10.614383368649882,11.48625543166823
levit_128_classification,resnet50_classification,181,156,,1000,70,70,70,tilde,56,True,8.7605323205944,0.16578349335399523,0.0,1.3828169252424694,8.926315813948396,8.7605323205944,10.309132739190865
levit_128_classification,semnasnet_100_classification,181,270,,1000,70,70,70,tilde,56,True,8.698059111408977,0.22825670253941865,0.0,1.346724884149161,8.926315813948396,8.698059111408977,10.273040698097557
levit_128_classification,cspresnet50_classification,181,320,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.2712495038864766,1.390557798993484,8.926315813948396,9.197565317834872,10.588123116828356
levit_128_classification,mobilenetv3_large_100_classification,181,252,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.19871285323470644,1.4915065219230392,8.926315813948396,9.125028667183102,10.616535189106141
levit_128_classification,ghostnet_100_classification,181,290,,1000,70,70,70,tilde,56,True,8.861593592949603,0.06472222099879232,0.0,1.5679080768004852,8.926315813948396,8.861593592949603,10.49422389074888
levit_128_classification,convnext_base_classification,181,273,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,1.5213302223309562,0.8184069712966924,8.926315813948396,10.447646036279352,11.266053007576044
levit_128_classification,xcit_nano_12_p8_224_classification,181,266,,1000,70,70,70,tilde,56,True,8.464968290222473,0.461347523725923,0.08031016162885152,1.8127596902964633,8.926315813948396,8.545278451851324,10.81938566587371
levit_128_classification,xcit_nano_12_p16_224_classification,181,242,,1000,70,70,70,tilde,56,True,8.548128928494016,0.3781868854543795,0.0,1.6366265513684084,8.926315813948396,8.548128928494016,10.562942365316804
levit_128_classification,swin_large_patch4_window7_224_classification,181,281,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.5257236670211753,1.5414854108701839,8.926315813948396,9.452039480969571,10.993524891839755
levit_128_classification,jx_nest_tiny_classification,181,148,,1000,70,70,70,tilde,56,True,8.926315813948396,0.0,0.7860966948977115,1.0367307596996476,8.926315813948396,9.712412508846107,10.749143268545755
