row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_resnet50_selfsupervised,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,0.4961859002619748,0.6707760511865253,0.675487681056512,0.5975557596866983,0.65921769330481,0.6222650220762516,0.601073039200311,0.6542994642278961,0.6409566987250512,0.6037765049643022,0.6040330888329573,0.5606901306309711,0.6312288869507787,0.7030362075244492,0.6405313352543125,0.6012711350075604,0.651769643645296,0.6024956786843259,0.6349389542715027,0.6686657593283742,0.5807074875881604,0.3950414857701085,0.5913460370749739,0.6049385887688485,0.5246004327549079,0.5977254729413657,0.5938122779063848,0.6480673817928038,0.6453281907594848,0.5925820976646516,0.7035558881333994,0.6536169392924727
RN50_clip,0.4961859002619748,0.0,0.6009521772991882,0.6141979854393131,0.5125145097930783,0.5847578824455439,0.5452963662842079,0.570936935190792,0.5985842263956709,0.5786944236224407,0.5758696839602218,0.5906542549620442,0.4540993239114277,0.5665608794757171,0.6085092974810955,0.5914859807356079,0.5635247809050394,0.6223049283471793,0.5453056117707167,0.560362706204498,0.5839283399031236,0.5569494631981096,0.3646638120103089,0.5571128908011334,0.4385642498238615,0.5579325620127094,0.569460226213903,0.5578542767472436,0.5580930906090256,0.5433286086778342,0.5053997701041633,0.6221099750089021,0.5662044644129418
ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.6707760511865253,0.6009521772991882,0.0,0.3868071107210964,0.5236167197949824,0.5595743157203552,0.5490405411146719,0.5536099530615868,0.3910806208515209,0.4271582969158043,0.4592836364732227,0.4297361280581606,0.5925449322673773,0.4205032166226043,0.4170626341242149,0.5942060284330744,0.4598339490094396,0.6639116574957846,0.6075188270509662,0.3488783209560884,0.4961383918148021,0.6204074758842042,0.5869243659688212,0.4375506600458703,0.5454015971390316,0.6395035685437307,0.6942055660091127,0.5734758135840785,0.3480367237718864,0.529715759036363,0.6238919047544318,0.5546138234658509,0.5102459213584174
ResNet50-DeepClusterV2-2x224_selfsupervised,0.675487681056512,0.6141979854393131,0.3868071107210964,0.0,0.435078844251568,0.4043817838153671,0.4742691378228425,0.4957903955687461,0.5338261025961497,0.6039063549937449,0.5112857992178119,0.5590234821963804,0.5662646877984976,0.5267369347304012,0.3542045303644885,0.6733196267681789,0.5576047204596186,0.6676848516300407,0.6277193862226005,0.5874568409352845,0.5609368173231957,0.6453004677912437,0.45188723030844,0.5549514638341506,0.4570721039352197,0.6098514663452725,0.6935683161153232,0.5719002624106233,0.5541413363577243,0.4773286452908456,0.5941108259994632,0.5981596257913893,0.5756117548521296
ResNet50-MoCoV2-BS256_selfsupervised,0.5975557596866983,0.5125145097930783,0.5236167197949824,0.435078844251568,0.0,0.5187837374557773,0.5542077036248889,0.5480012736628437,0.4010870068317604,0.5481184155504986,0.3745682129895682,0.5765511782798409,0.5666604739163121,0.5453746601423619,0.2745870330574425,0.6508457474153717,0.4085378778546493,0.6758748498162452,0.575221897536232,0.5039717782397393,0.5436258059048988,0.6002595065619172,0.4767522208615187,0.5003841858247577,0.5412274909393204,0.6917246695235919,0.6287540726921472,0.5603860791421553,0.4969547690724845,0.5015485473470838,0.5783224986603619,0.5631125755035962,0.570790172030665
ResNet50-PIRL_selfsupervised,0.65921769330481,0.5847578824455439,0.5595743157203552,0.4043817838153671,0.5187837374557773,0.0,0.4205262669110778,0.4905824387465562,0.48361052136568,0.5047268740549082,0.4742513257483995,0.4875329537503754,0.5820890724464158,0.4552194486483376,0.3330762429219831,0.645630634971992,0.4515955917912979,0.6910994463484839,0.6318528280814499,0.4017986374966318,0.5865172320787613,0.6377324715623178,0.5914503794121391,0.5219268512583346,0.5281252333165085,0.6465239692712208,0.6720513479660735,0.6000171677446193,0.4611130897588635,0.538210564594543,0.5952906047452924,0.5905703259012185,0.532610051592183
ResNet50-SimCLR_selfsupervised,0.6222650220762516,0.5452963662842079,0.5490405411146719,0.4742691378228425,0.5542077036248889,0.4205262669110778,0.0,0.516974738883917,0.5322006736538727,0.526074561800014,0.4765396548778202,0.5249763768527336,0.5526755909673113,0.4800531364753615,0.387955541795649,0.6164894804831631,0.5291878797740228,0.6702608463439255,0.5664777985191076,0.4582764506806445,0.5229006148934197,0.5860571200446252,0.4811745454254534,0.5308996209223897,0.5012184935481949,0.5929024872669597,0.6050807790432788,0.5139526627843107,0.514971793734813,0.5410450319548765,0.5921537868146194,0.6173418945095204,0.5160045613405817
ResNet50-SwAV-BS4096-2x224_selfsupervised,0.601073039200311,0.570936935190792,0.5536099530615868,0.4957903955687461,0.5480012736628437,0.4905824387465562,0.516974738883917,0.0,0.5394108176790366,0.5344134675333212,0.3773345907216363,0.5356233615801731,0.5476282288381968,0.4897722326937863,0.4919901919870977,0.6430461268745065,0.6457738306041776,0.6794879990356213,0.6406451395487949,0.4579210176960755,0.5503197435654199,0.6785528323619099,0.5406709529204701,0.4795642961028656,0.5600097151995982,0.6116033212811214,0.6370923244198741,0.5162386839931221,0.5424065502384074,0.5370189438252444,0.5511603956954572,0.595701356690717,0.5146418232318499
coat_lite_tiny_classification,0.6542994642278961,0.5985842263956709,0.3910806208515209,0.5338261025961497,0.4010870068317604,0.48361052136568,0.5322006736538727,0.5394108176790366,0.0,0.5244966714966139,0.5681814908630756,0.5620881895392751,0.6099802158070737,0.5297627602273867,0.5164299532900207,0.6884256706362111,0.4879350132079576,0.5913231782784152,0.4694791216424834,0.5499109888495592,0.5138446387999975,0.6286209593465459,0.5091489007912235,0.3779428386678418,0.4293481106520929,0.5543885012387371,0.656188419822942,0.4467977187112639,0.5244607967211294,0.4901345130461161,0.5555260140684943,0.4275585345351214,0.5296633258231935
convit_base_classification,0.6409566987250512,0.5786944236224407,0.4271582969158043,0.6039063549937449,0.5481184155504986,0.5047268740549082,0.526074561800014,0.5344134675333212,0.5244966714966139,0.0,0.5757845495781613,0.513690913104127,0.5415754647306095,0.4755972449997827,0.5222593905156057,0.6279767226873005,0.5697081184546118,0.6453875524493569,0.6102467909827576,0.4013136190865882,0.5581004013487059,0.6268129388746022,0.5492283965438229,0.528507211052295,0.5452012466096745,0.5869498265729902,0.6148741571200533,0.3950269989639494,0.5100226493673414,0.4590557829978507,0.5889547480627648,0.6145227652251988,0.5259340784639139
