row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_resnet50_selfsupervised,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,7.852601009690247,6.277369981812327,7.32125687367117,7.012264574247604,6.644538187160534,7.32784277089411,7.157614154059652,7.414098973178987,7.18056529688864,7.852601009690245,7.178139143956716,7.305820776143114,7.148670465635926,7.544554167049778,6.140000574833402,7.71648721779321,7.2062673775201,6.939596094463723,7.457700317144642,7.168968751447727,7.276528907840619,6.632620214675783,7.238104573745741,6.966657181469086,6.929130846078382,7.292166270890728,6.849129297173048,7.270670451924307,6.9605790024957,6.943041194460039,6.808091002346479,6.864047041256545
RN50_clip,7.852601009690247,0.0,6.277369981812328,7.363998822121054,7.076353611397394,6.644538187160535,7.387623909720734,7.157614154059651,7.772020488634812,7.289767136269432,8.06915016000857,7.207843156377656,7.305820776143115,7.193208337128667,7.791328573058625,6.140000574833401,8.069150160008574,7.206267377520099,6.939596094463724,7.771768653540718,7.19872793217359,7.276528907840618,6.632620214675782,7.4673278832126435,6.966657181469085,6.929130846078383,7.4725574751564015,6.849129297173047,7.540349442221508,6.960579002495699,6.94304119446004,6.836816576538968,6.864047041256544
ResNet50-ClusterFit-16K-RotNet_selfsupervised,6.277369981812327,6.277369981812328,0.0,6.277369981812327,6.277369981812327,6.277369981812327,6.277369981812327,6.277369981812327,6.277369981812327,6.277369981812327,6.277369981812326,6.277369981812327,6.277369981812327,6.277369981812327,6.277369981812327,5.366880341686074,6.277369981812326,6.271653160600111,6.21200383464797,6.277369981812327,6.277369981812327,6.253966691733425,5.980516014937589,6.277369981812327,6.277369981812327,6.277369981812327,6.206724866371835,6.277369981812327,6.277369981812327,6.277369981812327,6.277369981812327,6.252585928448783,6.2681677036310965
ResNet50-DeepClusterV2-2x224_selfsupervised,7.32125687367117,7.363998822121054,6.277369981812327,0.0,7.076353611397393,6.644538187160534,7.363998822121055,7.157614154059652,7.363998822121055,7.289767136269433,7.363998822121056,7.207843156377655,7.305820776143114,7.193208337128668,7.363998822121055,5.890522789826346,7.363998822121056,7.198097481197548,6.939596094463723,7.363998822121055,7.198727932173589,7.223469404675632,6.632620214675783,7.363998822121055,6.966657181469086,6.929130846078382,7.038372658927063,6.849129297173048,7.363998822121055,6.9605790024957,6.943041194460039,6.836816576538968,6.864047041256545
ResNet50-MoCoV2-BS256_selfsupervised,7.012264574247604,7.076353611397394,6.277369981812327,7.076353611397393,0.0,6.644538187160534,7.076353611397393,7.022689147149308,7.076353611397393,7.076353611397393,7.076353611397392,6.97148386282646,6.997506743967675,7.008704144644037,7.076353611397393,5.456792847196095,7.076353611397392,6.868454411279903,6.803060504794868,7.076353611397393,6.818413126324504,6.904707037315312,6.451422606369653,7.076353611397393,6.915273798613596,6.751509200230228,6.761037209688044,6.849129297173048,7.076353611397393,6.9605790024957,6.86278376819634,6.83623689399049,6.8442695773807465
ResNet50-PIRL_selfsupervised,6.644538187160534,6.644538187160535,6.277369981812327,6.644538187160534,6.644538187160534,0.0,6.644538187160534,6.644538187160534,6.644538187160534,6.644538187160534,6.644538187160533,6.644538187160534,6.644538187160534,6.644538187160534,6.644538187160534,5.606067496298774,6.644538187160533,6.539019092007534,6.423575319591409,6.644538187160534,6.644538187160534,6.582619860791127,6.360998886123378,6.644538187160534,6.644538187160534,6.529278471087308,6.508370499028215,6.60380633273456,6.644538187160534,6.644538187160534,6.595328419819185,6.505544553889953,6.563127986378624
ResNet50-SimCLR_selfsupervised,7.32784277089411,7.387623909720734,6.277369981812327,7.363998822121055,7.076353611397393,6.644538187160534,0.0,7.157614154059652,7.387623909720733,7.289767136269433,7.387623909720732,7.207843156377655,7.305820776143114,7.193208337128668,7.387623909720733,6.014211825927352,7.387623909720732,7.0497385130037,6.9193293497056105,7.387623909720733,7.138161284170386,7.133583635227069,6.632620214675783,7.387623909720733,6.966657181469086,6.929130846078382,6.943114344138524,6.849129297173048,7.367013514763405,6.9605790024957,6.943041194460039,6.836816576538968,6.864047041256545
ResNet50-SwAV-BS4096-2x224_selfsupervised,7.157614154059652,7.157614154059651,6.277369981812327,7.157614154059652,7.022689147149308,6.644538187160534,7.157614154059652,0.0,7.157614154059652,7.157614154059652,7.157614154059653,7.157614154059652,7.157614154059652,7.157614154059652,7.157614154059652,6.054242901919645,7.157614154059653,6.894685624532931,6.7150026642458025,7.157614154059652,7.15530112666388,6.888117621772186,6.632620214675783,7.157614154059652,6.966657181469086,6.929130846078382,6.965381555507824,6.849129297173048,7.157614154059652,6.9605790024957,6.943041194460039,6.772245366166366,6.834740515351418
coat_lite_tiny_classification,7.414098973178987,7.772020488634812,6.277369981812327,7.363998822121055,7.076353611397393,6.644538187160534,7.387623909720733,7.157614154059652,0.0,7.289767136269433,7.772020488634814,7.207843156377655,7.305820776143114,7.193208337128668,7.772020488634813,5.872667690315035,7.772020488634814,7.2062673775201,6.939596094463723,7.771768653540719,7.198727932173589,7.276528907840619,6.632620214675783,7.467327883212644,6.966657181469086,6.929130846078382,7.239128182810834,6.849129297173048,7.540349442221507,6.9605790024957,6.943041194460039,6.836816576538968,6.864047041256545
convit_base_classification,7.18056529688864,7.289767136269432,6.277369981812327,7.289767136269433,7.076353611397393,6.644538187160534,7.289767136269433,7.157614154059652,7.289767136269433,0.0,7.289767136269434,7.207843156377655,7.134890945715519,7.193208337128668,7.289767136269433,5.789953382437329,7.289767136269434,6.965193012291354,6.912190050225899,7.289767136269433,7.030198546048152,6.9766713200969495,6.632620214675783,7.289767136269433,6.966657181469086,6.929130846078382,7.135197056011756,6.849129297173048,7.289767136269433,6.9605790024957,6.943041194460039,6.836816576538968,6.864047041256545
convnext_base_classification,7.852601009690245,8.06915016000857,6.277369981812326,7.363998822121056,7.076353611397392,6.644538187160533,7.387623909720732,7.157614154059653,7.772020488634814,7.289767136269434,0.0,7.207843156377654,7.305820776143113,7.193208337128668,7.791328573058626,6.140000574833403,8.246532535553865,7.206267377520101,6.939596094463722,7.77176865354072,7.198727932173588,7.2765289078406195,6.632620214675784,7.467327883212645,6.966657181469087,6.929130846078381,7.515334872215236,6.849129297173048,7.540349442221506,6.960579002495701,6.943041194460038,6.836816576538967,6.864047041256546
crossvit_base_240_classification,7.178139143956716,7.207843156377656,6.277369981812327,7.207843156377655,6.97148386282646,6.644538187160534,7.207843156377655,7.157614154059652,7.207843156377655,7.207843156377655,7.207843156377654,0.0,7.090033918712545,7.193208337128668,7.207843156377655,5.983431748640623,7.207843156377654,6.831824536494444,6.780808333130575,7.207843156377655,7.153906711079086,6.867015973084805,6.632620214675783,7.207843156377655,6.966657181469086,6.929130846078382,7.046415938993072,6.849129297173048,7.207843156377655,6.9605790024957,6.943041194460039,6.836816576538968,6.864047041256545
cspresnet50_classification,7.305820776143114,7.305820776143115,6.277369981812327,7.305820776143114,6.997506743967675,6.644538187160534,7.305820776143114,7.157614154059652,7.305820776143114,7.134890945715519,7.305820776143113,7.090033918712545,0.0,7.097597310326444,7.305820776143114,6.056145284701848,7.305820776143113,7.1772056190855125,6.936615230228498,7.305820776143114,7.157303373761657,7.276528907840619,6.632620214675783,7.185561740291666,6.966657181469086,6.929130846078382,7.1508510521738815,6.849129297173048,7.205326605472509,6.9605790024957,6.943041194460039,6.755189945038311,6.854685435010143
deit_base_patch16_224_classification,7.148670465635926,7.193208337128667,6.277369981812327,7.193208337128668,7.008704144644037,6.644538187160534,7.193208337128668,7.157614154059652,7.193208337128668,7.193208337128668,7.193208337128668,7.193208337128668,7.097597310326444,0.0,7.193208337128668,6.048046454764672,7.193208337128668,6.8705327043006434,6.811314404224819,7.193208337128668,7.193208337128668,6.906447502119749,6.628217805325085,7.193208337128668,6.966657181469086,6.929130846078382,7.071309587906271,6.849129297173048,7.193208337128668,6.9605790024957,6.943041194460039,6.836816576538968,6.864047041256545
dino_resnet50_selfsupervised,7.544554167049778,7.791328573058625,6.277369981812327,7.363998822121055,7.076353611397393,6.644538187160534,7.387623909720733,7.157614154059652,7.772020488634813,7.289767136269433,7.791328573058626,7.207843156377655,7.305820776143114,7.193208337128668,0.0,6.047754491116547,7.791328573058626,7.2062673775201,6.939596094463723,7.771768653540719,7.198727932173589,7.276528907840619,6.632620214675783,7.467327883212644,6.966657181469086,6.929130846078382,7.294919073986151,6.849129297173048,7.540349442221507,6.9605790024957,6.943041194460039,6.836816576538968,6.864047041256545
dino_vitb16_selfsupervised,6.140000574833402,6.140000574833401,5.366880341686074,5.890522789826346,5.456792847196095,5.606067496298774,6.014211825927352,6.054242901919645,5.872667690315035,5.789953382437329,6.140000574833403,5.983431748640623,6.056145284701848,6.048046454764672,6.047754491116547,0.0,6.096620357835063,5.692065493915816,5.415036901714028,6.140000574833402,6.140000574833402,5.816122803176735,5.671709963988797,5.736946740919444,5.7801787527930895,5.861134030000956,5.941245327399294,5.584109699790741,5.93678767052524,5.685183928972918,5.7195391217999,5.465741845730936,5.613078201137579
eca_nfnet_l0_classification,7.71648721779321,8.069150160008574,6.277369981812326,7.363998822121056,7.076353611397392,6.644538187160533,7.387623909720732,7.157614154059653,7.772020488634814,7.289767136269434,8.246532535553865,7.207843156377654,7.305820776143113,7.193208337128668,7.791328573058626,6.096620357835063,0.0,7.206267377520101,6.939596094463722,7.77176865354072,7.198727932173588,7.2765289078406195,6.632620214675784,7.467327883212645,6.966657181469087,6.929130846078381,7.515334872215236,6.849129297173048,7.540349442221506,6.960579002495701,6.943041194460038,6.836816576538967,6.864047041256546
