row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,9.8703676519494,7.840290346845627,9.299733034387522,8.90421738077707,8.46484450131948,9.415670136895844,8.873800955633875,9.63586901235983,9.143169996612327,9.870367651949383,9.13122342149384,9.197565317834872,9.177819574559344,7.447248257313483,9.870367651949383,8.861593592949603,8.670433523843261,9.712412508846109,8.926315813948396,9.125028667183102,8.67746082024664,9.448109571071608,8.7605323205944,8.698059111408977,9.452039480969573,8.552467991360121,9.542497584619689,8.726570687749103,8.6460283468104,8.548128928494016,8.545278451851324
RN50_clip,9.8703676519494,0.0,7.840290346845627,9.299733034387522,8.90421738077707,8.46484450131948,9.415670136895844,8.873800955633875,9.63586901235983,9.143169996612327,10.15024697249844,9.13122342149384,9.197565317834872,9.177819574559344,7.447248257313483,10.15024697249844,8.861593592949603,8.670433523843261,9.712412508846109,8.926315813948396,9.125028667183102,8.67746082024664,9.448109571071608,8.7605323205944,8.698059111408977,9.452039480969573,8.552467991360121,9.542497584619689,8.726570687749103,8.6460283468104,8.548128928494016,8.545278451851324
ResNet50-ClusterFit-16K-RotNet_selfsupervised,7.840290346845627,7.840290346845627,0.0,7.840290346845627,7.840290346845645,7.840290346845627,7.840290346845627,7.840290346845627,7.840290346845627,7.840290346845627,7.840290346845645,7.840290346845645,7.840290346845645,7.840290346845645,6.815425458431109,7.840290346845645,7.840290346845645,7.840290346845645,7.840290346845645,7.840290346845627,7.840290346845645,7.840290346845645,7.840290346845645,7.840290346845645,7.840290346845645,7.840290346845645,7.840290346845645,7.840290346845627,7.840290346845645,7.840290346845645,7.840290346845645,7.840290346845645
ResNet50-DeepClusterV2-2x224_selfsupervised,9.299733034387522,9.299733034387522,7.840290346845627,0.0,8.90421738077707,8.46484450131948,9.299733034387522,8.873800955633875,9.299733034387522,9.143169996612327,9.299733034387508,9.13122342149384,9.197565317834872,9.177819574559344,7.447248257313483,9.299733034387508,8.861593592949603,8.670433523843261,9.299733034387508,8.926315813948396,9.125028667183102,8.67746082024664,9.299733034387508,8.7605323205944,8.698059111408977,9.2673555422696,8.552467991360121,9.299733034387522,8.726570687749103,8.6460283468104,8.548128928494016,8.545278451851324
ResNet50-MoCoV2-BS256_selfsupervised,8.90421738077707,8.90421738077707,7.840290346845645,8.90421738077707,0.0,8.464844501319458,8.90421738077707,8.873800955633893,8.90421738077707,8.90421738077707,8.904217380777073,8.904217380777073,8.904217380777073,8.904217380777073,6.97433004972201,8.904217380777073,8.85723412466859,8.670433523843261,8.904217380777073,8.841811357817198,8.904217380777073,8.67746082024664,8.904217380777073,8.7605323205944,8.698059111408977,8.88687816085277,8.552467991360121,8.90421738077707,8.726570687749103,8.6460283468104,8.548128928494016,8.545278451851324
ResNet50-PIRL_selfsupervised,8.46484450131948,8.46484450131948,7.840290346845627,8.46484450131948,8.464844501319458,0.0,8.46484450131948,8.46484450131948,8.46484450131948,8.46484450131948,8.464844501319458,8.464844501319458,8.464844501319458,8.464844501319458,7.164410676696285,8.464844501319458,8.433051277335569,8.430712553139449,8.464844501319458,8.46484450131948,8.464844501319458,8.464844501319458,8.464844501319458,8.464844501319458,8.464844501319458,8.464844501319458,8.464844501319458,8.46484450131948,8.464844501319458,8.464844501319458,8.464844501319458,8.464844501319458
ResNet50-SimCLR_selfsupervised,9.415670136895844,9.415670136895844,7.840290346845627,9.299733034387522,8.90421738077707,8.46484450131948,0.0,8.873800955633875,9.415670136895844,9.143169996612327,9.415670136895857,9.13122342149384,9.197565317834872,9.177819574559344,7.447248257313483,9.415670136895857,8.861593592949603,8.670433523843261,9.415670136895857,8.926315813948396,9.125028667183102,8.67746082024664,9.415670136895857,8.7605323205944,8.698059111408977,9.157532575239046,8.552467991360121,9.415670136895844,8.726570687749103,8.6460283468104,8.548128928494016,8.545278451851324
ResNet50-SwAV-BS4096-2x224_selfsupervised,8.873800955633875,8.873800955633875,7.840290346845627,8.873800955633875,8.873800955633893,8.46484450131948,8.873800955633875,0.0,8.873800955633875,8.873800955633875,8.873800955633893,8.873800955633893,8.873800955633893,8.873800955633893,7.447248257313483,8.873800955633893,8.861593592949603,8.670433523843261,8.873800955633893,8.873800955633875,8.873800955633893,8.67746082024664,8.873800955633893,8.7605323205944,8.698059111408977,8.873800955633893,8.552467991360121,8.873800955633875,8.726570687749103,8.6460283468104,8.548128928494016,8.545278451851324
coat_lite_tiny_classification,9.63586901235983,9.63586901235983,7.840290346845627,9.299733034387522,8.90421738077707,8.46484450131948,9.415670136895844,8.873800955633875,0.0,9.143169996612336,9.63586901235983,9.13122342149384,9.197565317834872,9.177819574559344,7.447248257313483,9.63586901235983,8.861593592949603,8.670433523843261,9.63586901235983,8.926315813948396,9.125028667183102,8.67746082024664,9.448109571071608,8.7605323205944,8.698059111408977,9.452039480969573,8.552467991360121,9.542497584619705,8.726570687749103,8.6460283468104,8.548128928494016,8.545278451851324
convit_base_classification,9.143169996612327,9.143169996612327,7.840290346845627,9.143169996612327,8.90421738077707,8.46484450131948,9.143169996612327,8.873800955633875,9.143169996612336,0.0,9.143169996612327,9.13122342149384,9.143169996612327,9.143169996612327,7.323652801715346,9.143169996612327,8.861593592949603,8.670433523843261,9.143169996612327,8.926315813948396,9.0704259917811,8.67746082024664,9.143169996612327,8.7605323205944,8.698059111408977,9.143169996612327,8.552467991360121,9.143169996612336,8.726570687749103,8.6460283468104,8.548128928494016,8.545278451851324
