row_model,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,eca_nfnet_l0_classification,ghostnet_100_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
convnext_base_classification,0.0,,,,16.578862482239337,,,,,15.052817566165636,,13.42784316372568,14.274800874637696,,,,,,
crossvit_base_240_classification,,0.0,,,15.707763844482894,,,,,15.052817566165636,,13.42784316372568,,,,,,,
cspresnet50_classification,,,0.0,,14.148621652329808,,,,,14.148621652329808,,13.42784316372568,14.148621652329808,,,,,,
deit_base_patch16_224_classification,,,,0.0,15.526341679520836,,,,,15.052817566165636,,13.42784316372568,,,,,,,
eca_nfnet_l0_classification,16.578862482239337,15.707763844482894,14.148621652329808,15.526341679520836,0.0,13.623027293820543,15.758885823042714,13.499539677848349,14.398492750091322,15.052817566165636,14.290232597243502,13.427843163725688,14.274800874637696,16.01783469741238,13.937536280274651,14.800039458532034,13.586018298855532,12.666525950471172,11.638209367553008
ghostnet_100_classification,,,,,13.623027293820543,0.0,,,,13.623027293820543,,13.42784316372568,13.623027293820543,,,,,,
jx_nest_tiny_classification,,,,,15.758885823042714,,0.0,,,15.052817566165636,,13.42784316372568,,,,,,,
levit_128_classification,,,,,13.499539677848349,,,0.0,,13.499539677848349,,13.42784316372568,,,,,,,
mobilenetv3_large_100_classification,,,,,14.398492750091322,,,,0.0,14.398492750091322,,13.42784316372568,14.274800874637696,,,,,,
nf_resnet50_classification,15.052817566165636,15.052817566165636,14.148621652329808,15.052817566165636,15.052817566165636,13.623027293820543,15.052817566165636,13.499539677848349,14.398492750091322,0.0,14.290232597243502,13.427843163725688,14.274800874637696,15.052817566165636,13.937536280274651,14.800039458532034,13.586018298855532,12.666525950471172,11.638209367553008
pit_ti_224_classification,,,,,14.290232597243502,,,,,14.290232597243502,0.0,13.42784316372568,,,,,,,
resnet50_classification,13.42784316372568,13.42784316372568,13.42784316372568,13.42784316372568,13.427843163725688,13.42784316372568,13.42784316372568,13.42784316372568,13.42784316372568,13.427843163725688,13.42784316372568,0.0,13.42784316372568,13.42784316372568,13.42784316372568,13.42784316372568,13.42784316372568,12.666525950471172,11.638209367553008
semnasnet_100_classification,14.274800874637696,,14.148621652329808,,14.274800874637696,13.623027293820543,,,14.274800874637696,14.274800874637696,,13.42784316372568,0.0,,,,,,11.638209367553008
swin_large_patch4_window7_224_classification,,,,,16.01783469741238,,,,,15.052817566165636,,13.42784316372568,,0.0,,,,,
tnt_s_patch16_224_classification,,,,,13.937536280274651,,,,,13.937536280274651,,13.42784316372568,,,0.0,,,,
vit_base_patch16_224_classification,,,,,14.800039458532034,,,,,14.800039458532034,,13.42784316372568,,,,0.0,,,
vit_base_patch32_224_classification,,,,,13.586018298855532,,,,,13.586018298855532,,13.42784316372568,,,,,0.0,,
xcit_nano_12_p16_224_classification,,,,,12.666525950471172,,,,,12.666525950471172,,12.666525950471172,,,,,,0.0,
xcit_nano_12_p8_224_classification,,,,,11.638209367553008,,,,,11.638209367553008,,11.638209367553008,11.638209367553008,,,,,,0.0
