row_model,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,eca_nfnet_l0_classification,ghostnet_100_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
convnext_base_classification,0.0,,,,1.0771824278121611,,,,,0.8426818685704163,,0.3884286133752539,0.7239987273531767,,,,,,
crossvit_base_240_classification,,0.0,,,1.2024441198759384,,,,,1.3621033204926292,,0.7517173515338911,,,,,,,
cspresnet50_classification,,,0.0,,0.4904532629481188,,,,,0.7951775907081995,,0.9800347333711948,1.392876413748677,,,,,,
deit_base_patch16_224_classification,,,,0.0,1.0579488426642776,,,,,1.4052865349962502,,0.7787123461913055,,,,,,,
eca_nfnet_l0_classification,1.0771824278121611,1.2024441198759384,0.4904532629481188,1.0579488426642776,0.0,0.2275751052414385,0.9466926270055076,0.4160655873449705,0.3072744751850216,0.7993276666506404,0.3891680501643257,0.2687023006239819,0.6279478011445896,1.4748915344923752,0.6306231097309585,0.8940952007966523,0.727409044986306,0.0650232303522777,0.1721758393058188
ghostnet_100_classification,,,,,0.2275751052414385,0.0,,,,0.7315693104282417,,1.3578147702135297,1.0526138771360394,,,,,,
jx_nest_tiny_classification,,,,,0.9466926270055076,,0.0,,,1.2606483334810503,,0.6059488508735171,,,,,,,
levit_128_classification,,,,,0.4160655873449705,,,0.0,,1.0199598067313929,,1.6671303577058438,,,,,,,
mobilenetv3_large_100_classification,,,,,0.3072744751850216,,,,0.0,1.0223134818658082,,0.8414642111166764,1.174001393953592,,,,,,
nf_resnet50_classification,0.8426818685704163,1.3621033204926292,0.7951775907081995,1.4052865349962502,0.7993276666506404,0.7315693104282417,1.2606483334810503,1.0199598067313929,1.0223134818658082,0.0,1.2761694649108932,0.5243136123837004,1.0914835075358766,1.2386301090052143,1.325973099912737,1.6477167464540372,1.3699524534789234,0.7148172549148484,0.6732648692464736
pit_ti_224_classification,,,,,0.3891680501643257,,,,,1.2761694649108932,0.0,1.0725306779635702,,,,,,,
resnet50_classification,0.3884286133752539,0.7517173515338911,0.9800347333711948,0.7787123461913055,0.2687023006239819,1.3578147702135297,0.6059488508735171,1.6671303577058438,0.8414642111166764,0.5243136123837004,1.0725306779635702,0.0,1.0380474746009298,0.8230187061492842,1.7424469173196009,1.1249818607647128,1.7456166460189737,1.2662139009967175,1.0448980807334642
semnasnet_100_classification,0.7239987273531767,,1.392876413748677,,0.6279478011445896,1.0526138771360394,,,1.174001393953592,1.0914835075358766,,1.0380474746009298,0.0,,,,,,1.0612623730434514
swin_large_patch4_window7_224_classification,,,,,1.4748915344923752,,,,,1.2386301090052143,,0.8230187061492842,,0.0,,,,,
tnt_s_patch16_224_classification,,,,,0.6306231097309585,,,,,1.325973099912737,,1.7424469173196009,,,0.0,,,,
vit_base_patch16_224_classification,,,,,0.8940952007966523,,,,,1.6477167464540372,,1.1249818607647128,,,,0.0,,,
vit_base_patch32_224_classification,,,,,0.727409044986306,,,,,1.3699524534789234,,1.7456166460189737,,,,,0.0,,
xcit_nano_12_p16_224_classification,,,,,0.0650232303522777,,,,,0.7148172549148484,,1.2662139009967175,,,,,,0.0,
xcit_nano_12_p8_224_classification,,,,,0.1721758393058188,,,,,0.6732648692464736,,1.0448980807334642,1.0612623730434514,,,,,,0.0
