row_model,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,eca_nfnet_l0_classification,ghostnet_100_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
convnext_base_classification,0.0,,,,0.1876048123457003,,,,,1.713649728419398,,3.3386241308593547,2.4916664199473395,,,,,,
crossvit_base_240_classification,,0.0,,,0.0,,,,,0.6549462783172544,,2.279920680757211,,,,,,,
cspresnet50_classification,,,0.0,,0.0,,,,,0.0,,0.7207784886041289,0.0,,,,,,
deit_base_patch16_224_classification,,,,0.0,0.0,,,,,0.4735241133552037,,2.098498515795161,,,,,,,
eca_nfnet_l0_classification,0.0,0.8710986377564431,2.430240829909525,1.0525208027184938,0.0,2.955835188418789,0.819976659196616,3.079322804390987,2.180369732148012,1.5260449160737153,2.2886298849958315,3.1510193185136472,2.304061607601639,0.5610277848269583,2.641326201964681,1.7788230237073002,2.992844183383802,3.9123365317681618,4.940653114686327
ghostnet_100_classification,,,,,0.0,0.0,,,,0.0,,0.1951841300948658,0.0,,,,,,
jx_nest_tiny_classification,,,,,0.0,,0.0,,,0.7060682568770815,,2.3310426593170384,,,,,,,
levit_128_classification,,,,,0.0,,,0.0,,0.0,,0.0716965141226673,,,,,,,
mobilenetv3_large_100_classification,,,,,0.0,,,,0.0,0.0,,0.970649586365642,0.1236918754536269,,,,,,
nf_resnet50_classification,0.0,0.0,0.904195913835828,0.0,0.0,1.429790272345091,0.0,1.5532778883172895,0.6543248160743147,0.0,0.762584968922134,1.6249744024399495,0.7780166915279416,0.0,1.1152812858909833,0.2527781076336026,1.466799267310105,2.386291615694464,3.4146081986126298
pit_ti_224_classification,,,,,0.0,,,,,0.0,0.0,0.8623894335178228,,,,,,,
resnet50_classification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7613172132545074,1.789633796172673
semnasnet_100_classification,0.0,,0.1261792223078863,,0.0,0.6517735808171494,,,0.0,0.0,,0.8469577109120152,0.0,,,,,,2.636591507084688
swin_large_patch4_window7_224_classification,,,,,0.0,,,,,0.9650171312467392,,2.589991533686696,,0.0,,,,,
tnt_s_patch16_224_classification,,,,,0.0,,,,,0.0,,0.5096931165489735,,,0.0,,,,
vit_base_patch16_224_classification,,,,,0.0,,,,,0.0,,1.3721962948063542,,,,0.0,,,
vit_base_patch32_224_classification,,,,,0.0,,,,,0.0,,0.1581751351298521,,,,,0.0,,
xcit_nano_12_p16_224_classification,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,
xcit_nano_12_p8_224_classification,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,0.0
