row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,ViT-B_32_clip,ViT-L_14_clip,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,11.314052733659738,8.757142616846481,9.971371399260654,9.698953679686763,9.501450059524414,10.016515191458977,10.06824260788914,10.480817946877982,10.54084781251279,9.981786360299838,9.555702520384152,10.861626292937618,9.746190684526333,10.377874248569174,9.732582889812774,10.400423910847804,9.629022809438148,9.72617530871349,10.12415999856444,9.896340373766757,10.323167563830076,9.87960099125813,9.69339487613716,9.820331816853113,9.893527027596908,10.25765225167912,9.343381768687085,10.027475816299422,9.701681468105429,9.40417875605543,9.304747921128149,9.317803846335236
RN50_clip,11.314052733659738,0.0,9.044157185413384,10.351348665462467,10.15093197496575,9.8083143356256,10.388923703981064,10.365463822792073,10.983980098564189,11.013049643434163,10.446021572448974,9.842187411075384,11.37500505048561,10.037749943664366,10.68160456737923,10.042695628100912,10.878855950439648,9.90479238928155,10.074411512112656,10.521343095387069,10.242679380610022,10.751802709582805,10.103401790510354,10.108153789946964,10.16295845543668,10.14832691966818,10.421252397080336,9.566029886443271,10.47958474503408,10.031094092123707,9.63506761789356,9.59616190935833,9.583167679851549
ResNet50-ClusterFit-16K-RotNet_selfsupervised,8.757142616846481,9.044157185413384,0.0,9.031265303601662,8.874601616066686,8.931290897719617,9.048685998019923,8.927368518210773,9.18155372741376,9.10579958264356,9.055196724850656,8.708035835309415,9.18155372741376,8.842071843770865,8.817262159230163,8.890442133433917,9.098071506374897,8.46672798918417,8.581624850458452,9.102939367614422,8.937557814581718,9.032054684259911,8.534654700081488,9.006480370060796,8.7532786018224,8.75607149378326,8.565018644820913,8.457115979599012,9.16515152244232,8.736378281886793,8.493934362604477,8.515253476513825,8.39478680723302
ResNet50-DeepClusterV2-2x224_selfsupervised,9.971371399260654,10.351348665462467,9.031265303601662,0.0,9.967825812172803,9.804122428806762,10.265868835853093,10.018298630128598,10.37560970375708,10.311200531830828,10.136282207800024,9.586374248764454,10.494718632504664,9.724012544499637,10.050969115480443,9.740796869625187,10.349793710042194,9.564391552131864,9.682355264315628,10.171227251600271,9.804836973953934,10.290044534732829,9.61832303383547,9.902551048265016,9.759336976965017,9.720816143801873,9.676287451770254,9.328727969620344,10.17077403550077,9.75967719935962,9.343440340461912,9.365414637652782,9.346812367943071
ResNet50-MoCoV2-BS256_selfsupervised,9.698953679686763,10.15093197496575,8.874601616066686,9.967825812172803,0.0,9.548059196094655,9.889972159622056,9.62169667597222,10.217190662564253,10.121343004852726,10.07045785955429,9.413747587416074,10.298210270797624,9.474161933200389,9.719020897588011,9.461807782951627,10.126686581071766,9.285003801955057,9.506843840219746,9.94357968925166,9.460033523316287,10.043734718691326,9.260894044924775,9.881660847593457,9.515047576801043,9.391037661768468,9.390924478360246,9.177411750350442,9.987283217962029,9.59042717875346,9.114427988177985,9.206042668754362,9.196490890467697
ResNet50-PIRL_selfsupervised,9.501450059524414,9.8083143356256,8.931290897719617,9.804122428806762,9.548059196094655,0.0,9.943321399967148,9.648386581952789,9.98323250249387,9.889840191965696,9.69940260820118,9.37347709596839,9.948794925481115,9.49068574628408,9.542648803946909,9.51834320771786,9.836506165868215,9.094445690639573,9.218659937090862,9.850154321565238,9.406304826099642,9.73452753913,9.229262850623234,9.579816733328396,9.29601193935816,9.324030189686452,9.257672673439131,9.14072687144689,9.821744866389064,9.44592883863274,9.094254227241551,9.120859979445646,9.154726240071367
ResNet50-SimCLR_selfsupervised,10.016515191458977,10.388923703981064,9.048685998019923,10.265868835853093,9.889972159622056,9.943321399967148,0.0,10.109222106288806,10.42434185452604,10.36382613381557,10.072533045065368,9.623543020267425,10.523144008890275,9.793125760445385,10.030328049411116,9.816860818921365,10.314781959030483,9.489101683188046,9.547425159450883,10.191651733913616,9.808424285196931,10.204152036376142,9.65577076459308,9.830746380355407,9.702819370557709,9.691443846501096,9.642686791685067,9.358198801508877,10.134084754896197,9.784592493405109,9.384005033095413,9.315397567111672,9.409389359521082
ResNet50-SwAV-BS4096-2x224_selfsupervised,10.06824260788914,10.365463822792073,8.927368518210773,10.018298630128598,9.62169667597222,9.648386581952789,10.109222106288806,0.0,10.252721856754375,10.214846629333966,9.907202686001773,9.558765530140594,10.436705245102798,9.76335224519717,10.14355197783567,9.819544058256556,10.132069678975189,9.354943580496354,9.426410908462666,10.108563766746949,9.911553499708033,10.050700231072726,9.693922530582688,9.683277647063582,9.72132491412599,9.746897487449662,9.694882979189108,9.259008543811174,9.971613182898944,9.661447888271889,9.354781818717573,9.212169756318138,9.239622061693984
ViT-B_32_clip,10.480817946877982,10.983980098564189,9.18155372741376,10.37560970375708,10.217190662564253,9.98323250249387,10.42434185452604,10.252721856754375,0.0,11.131811141543428,10.664370570542308,10.027563284433915,11.12353005588765,10.190882103755827,10.283717731999856,10.181276268824432,10.878989126882493,9.76802167999964,10.03171861523533,10.741234799374595,10.18408316775323,10.666052372645169,9.8015570977501,10.437560346792653,9.969745409443624,9.991896726499254,10.15778267989288,9.640049271161397,10.722157535973514,10.14626977597827,9.664520681369853,9.710833515988536,9.665816816382089
ViT-L_14_clip,10.54084781251279,11.013049643434163,9.10579958264356,10.311200531830828,10.121343004852726,9.889840191965696,10.36382613381557,10.214846629333966,11.131811141543428,0.0,10.54172085151792,9.96328037933387,11.118001870614927,10.106234502763217,10.287565812352089,10.091852885449628,10.788428007510836,9.74377559620136,9.984438503385348,10.64038983206982,10.089987296544669,10.61626758738342,9.811573466508726,10.267249658866772,9.937038981608293,9.94815717702123,10.179256764949873,9.615333457496902,10.550954232714052,10.130229558439652,9.61199355418888,9.637156283202708,9.635562774012188
