row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,ViT-B_32_clip,ViT-L_14_clip,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,,,,,,,,,,,,,,,,1.1260590481656203,,1.202093922777923,,,,1.065624090185107,,,,,,,,,,
RN50_clip,,0.0,,,,,,,,,,,,,,,1.0619752391290422,,1.097147839608423,,,,0.9530287756938768,,,,,,,,,,
ResNet50-ClusterFit-16K-RotNet_selfsupervised,,,0.0,,,,,,,,,,,,,,1.0444754308158348,,1.129601881063623,,,,1.1400934020239806,,,,,,,,,,
ResNet50-DeepClusterV2-2x224_selfsupervised,,,,0.0,,,,,,,,,,,,,1.0374108375665312,,1.0532516004496095,,,,1.017043737089935,,,,,,,,,,
ResNet50-MoCoV2-BS256_selfsupervised,,,,,0.0,,,,,,,,,,,,1.0626935313543484,,1.101442607845117,,,,1.0333486482645888,,,,,,,,,,
ResNet50-PIRL_selfsupervised,,,,,,0.0,,,,,,,,,,,1.1142359031622533,,1.1805486286726286,,,,1.15626142263328,,,,,,,,,,
ResNet50-SimCLR_selfsupervised,,,,,,,0.0,,,,,,,,,,1.096096984088712,,1.081927089051872,,,,1.0769886864765752,,,,,,,,,,
ResNet50-SwAV-BS4096-2x224_selfsupervised,,,,,,,,0.0,,,,,,,,,0.9930500996132388,,1.0402611503648505,,,,1.0107822349367073,,,,,,,,,,
ViT-B_32_clip,,,,,,,,,0.0,,,,,,,,1.1655250938283714,,1.1305776766424491,,,,1.128702847809052,,,,,,,,,,
ViT-L_14_clip,,,,,,,,,,0.0,,,,,,,1.2622884283193994,,1.2309768484282235,,,,1.2186942462082264,,,,,,,,,,
coat_lite_tiny_classification,,,,,,,,,,,0.0,,,,,,0.9911006741146942,,1.0096817019784634,,,,1.0043592755138686,,,,,,,,,,
convit_base_classification,,,,,,,,,,,,0.0,,,,,1.011853873929656,,1.1204594690672425,,,,1.040239826205747,,,,,,,,,,
convnext_base_classification,,,,,,,,,,,,,0.0,,,,1.0418824318940914,,1.0359549598748572,,,,1.0144052192283617,,,,,,,,,,
crossvit_base_240_classification,,,,,,,,,,,,,,0.0,,,1.050806399531245,,1.1250436678692388,,,,1.1045399147391066,,,,,,,,,,
cspresnet50_classification,,,,,,,,,,,,,,,0.0,,0.985349429805252,,1.0285626779934294,,,,0.9204258318682896,,,,,,,,,,
deit_base_patch16_224_classification,,,,,,,,,,,,,,,,0.0,1.042351574774715,,1.1204032766049572,,,,1.0905452789978565,,,,,,,,,,
