model_1,model_2,layer_1,layer_2,subj_id,n_samples,n_components_source_1,n_components_source_2,n_components_target,pid_method,rng_seed,bias_correction,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
levit_128_classification,coat_lite_tiny_classification,181,219,,1000,10,10,10,thin,56,True,2.2291816960355932,0.2389857582552799,0.33177229039161693,0.2009092154350367,2.468167454290873,2.56095398642721,3.0008489601175268
levit_128_classification,visformer_small_classification,181,163,,1000,10,10,10,thin,56,True,2.3441394858460614,0.12402796844481134,0.09941169664623262,0.15920205662814313,2.468167454290873,2.4435511824922944,2.726781207565249
levit_128_classification,convit_base_classification,181,201,,1000,10,10,10,thin,56,True,2.292602270020689,0.17556518427018464,0.11575859837691338,0.1301887612694368,2.468167454290873,2.408360868397602,2.7141148139372233
levit_128_classification,RN50_clip,181,179,,1000,10,10,10,thin,56,True,2.3904642381321537,0.07770321615871989,0.40322967104971985,0.228329402416676,2.468167454290873,2.793693909181873,3.099726527757269
levit_128_classification,RN101_clip,181,366,,1000,10,10,10,thin,56,True,2.2182718653712916,0.24989558891958108,0.2954504248948173,0.2054672156187074,2.468167454290873,2.5137222902661094,2.969085094804398
levit_128_classification,ResNet50-SimCLR_selfsupervised,181,162,,1000,10,10,10,thin,56,True,2.185180291339101,0.28298716295177195,0.2290674210517385,0.19711933702368478,2.468167454290873,2.4142477123908397,2.8943542123662964
levit_128_classification,ResNet50-DeepClusterV2-2x224_selfsupervised,181,162,,1000,10,10,10,thin,56,True,2.186770885874879,0.2813965684159947,0.29928476307025864,0.18505223192099196,2.468167454290873,2.486055648945137,2.9525044492821237
levit_128_classification,ResNet50-SwAV-BS4096-2x224_selfsupervised,181,165,,1000,10,10,10,thin,56,True,2.259817236751753,0.2083502175391203,0.07126598037646392,0.17592170143196517,2.468167454290873,2.3310832171282168,2.7153551360993022
levit_128_classification,ResNet50-PIRL_selfsupervised,181,165,,1000,10,10,10,thin,56,True,2.0994927498590354,0.3686747044318377,0.0,0.2356527041541172,2.468167454290873,2.0994927498590354,2.7038201584449904
levit_128_classification,ResNet50-ClusterFit-16K-RotNet_selfsupervised,181,160,,1000,10,10,10,thin,56,True,2.029818801080706,0.4383486532101677,0.0,0.11895970524229771,2.468167454290873,2.0298188010807054,2.587127159533171
levit_128_classification,ResNet50-MoCoV2-BS256_selfsupervised,181,155,,1000,10,10,10,thin,56,True,2.1640292329107904,0.3041382213800832,0.2980335575539299,0.22862119903830047,2.468167454290873,2.46206279046472,2.9948222108831035
levit_128_classification,nf_resnet50_classification,181,141,,1000,10,10,10,thin,56,True,1.6783052354622496,0.7898622188286237,0.10388967108607483,0.19070105355364264,2.468167454290873,1.7821949065483242,2.7627581789305906
levit_128_classification,hardcorenas_f_classification,181,294,,1000,10,10,10,thin,56,True,1.7153982876371736,0.7527691666536995,0.24219230044989093,0.16965495234702166,2.468167454290873,1.9575905880870645,2.8800147070877857
levit_128_classification,eca_nfnet_l0_classification,181,134,,1000,10,10,10,thin,56,True,2.323633847964974,0.1445336063258993,0.5214115317238144,0.22216715138129972,2.468167454290873,2.8450453796887882,3.2117461373959872
levit_128_classification,resnet50_classification,181,156,,1000,10,10,10,thin,56,True,2.18936399888558,0.2788034554052934,0.16621405934984246,0.21215405069426696,2.468167454290873,2.355578058235422,2.8465355643349826
levit_128_classification,semnasnet_100_classification,181,270,,1000,10,10,10,thin,56,True,2.099453619991087,0.3687138342997862,0.049730103832671624,0.1928044907498907,2.468167454290873,2.1491837238237586,2.7107020488734355
levit_128_classification,cspresnet50_classification,181,320,,1000,10,10,10,thin,56,True,2.1628141909784095,0.30535326331246315,0.13450275688899627,0.23040350660156284,2.468167454290873,2.2973169478674063,2.8330737177814322
levit_128_classification,mobilenetv3_large_100_classification,181,252,,1000,10,10,10,thin,56,True,2.0001582299789105,0.4680092243119627,0.2704061478403115,0.2604218577529913,2.468167454290873,2.270564377819222,2.998995459884176
levit_128_classification,ghostnet_100_classification,181,290,,1000,10,10,10,thin,56,True,1.9664769736069636,0.50169048068391,0.2499589726680682,0.21541355965959186,2.468167454290873,2.2164359462750314,2.933539986618533
levit_128_classification,convnext_base_classification,181,273,,1000,10,10,10,thin,56,True,2.3879388996109916,0.0802285546798811,0.16925999218055665,0.1842656120576729,2.468167454290873,2.5571988917915487,2.8216930585291027
