row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,7.85260135529494,6.277369985593611,7.321277603417648,7.012260852850403,6.64453831598786,7.327867212705613,7.157614046658142,7.414101019446017,7.180566644234251,7.852601355294951,7.178140021782508,7.305820767391267,7.148961071819987,6.140000679736054,7.71649040508934,7.206267343096539,6.939596098602981,7.457708676881451,7.1689719198953465,7.276529032003011,6.6326202958193,7.238185187900443,6.966657149925722,6.929130871351364,7.292184043249376,6.849129253672648,7.270671516834524,6.960579090998583,6.943040965181175,6.80801288457148,6.864047089966351
RN50_clip,7.85260135529494,0.0,6.277369985593612,7.36399878851244,7.076353850530047,6.644538315987859,7.387623900092162,7.157614046658143,7.772020909479169,7.289766143538392,8.069150003113482,7.207842481845454,7.305820767391268,7.193207088392757,6.140000679736055,8.069150003113482,7.206267343096538,6.93959609860298,7.77176894117968,7.198728162589864,7.276529032003012,6.632620295819301,7.467327764149644,6.966657149925723,6.929130871351365,7.472559590247469,6.849129253672647,7.540349348168393,6.960579090998582,6.943040965181176,6.836817120342758,6.864047089966352
ResNet50-ClusterFit-16K-RotNet_selfsupervised,6.277369985593611,6.277369985593612,0.0,6.277369985593611,6.277369985593597,6.277369985593611,6.277369985593611,6.277369985593611,6.277369985593611,6.277369985593611,6.277369985593598,6.277369985593597,6.277369985593597,6.277369985593597,5.36690389255828,6.277369985593598,6.271660152133081,6.21200824114173,6.277369985593597,6.277369985593611,6.253984492672427,5.980517883109973,6.277369985593597,6.277369985593597,6.277369985593597,6.206724541136779,6.277369985593597,6.277369985593611,6.277369985593597,6.277369985593597,6.252588397301548,6.268182491721204
ResNet50-DeepClusterV2-2x224_selfsupervised,7.321277603417648,7.36399878851244,6.277369985593611,0.0,7.076353850530047,6.64453831598786,7.363998788512441,7.157614046658142,7.363998788512441,7.289766143538391,7.363998788512426,7.207842481845453,7.305820767391267,7.193207088392758,5.8905265343637545,7.363998788512426,7.198107518514858,6.939596098602981,7.363998788512425,7.198728162589863,7.223470750896508,6.6326202958193,7.363998788512425,6.966657149925722,6.929130871351364,7.03837329349044,6.849129253672648,7.363998788512441,6.960579090998583,6.943040965181175,6.836817120342759,6.864047089966351
ResNet50-MoCoV2-BS256_selfsupervised,7.012260852850403,7.076353850530047,6.277369985593597,7.076353850530047,0.0,6.644538315987858,7.076353850530047,7.022693478098046,7.076353850530047,7.076353850530047,7.076353850530058,6.97148840684245,6.997511053624182,7.008705734277686,5.456825297243752,7.076353850530058,6.8683799871019335,6.803083352498716,7.076353850530059,6.818424815254016,6.9047089636582255,6.451415964599887,7.076353850530059,6.9152847587564334,6.751545116316306,6.761038287116296,6.849129253672648,7.076353850530047,6.960579090998583,6.86290703869823,6.836239709230453,6.844275903617648
ResNet50-PIRL_selfsupervised,6.64453831598786,6.644538315987859,6.277369985593611,6.64453831598786,6.644538315987858,0.0,6.64453831598786,6.64453831598786,6.64453831598786,6.64453831598786,6.644538315987859,6.644538315987858,6.644538315987858,6.644538315987858,5.606083723135625,6.644538315987859,6.539023953700974,6.423639100160142,6.644538315987858,6.64453831598786,6.5826487142256935,6.361000208172106,6.644538315987858,6.644538315987858,6.529280279443231,6.508432273489342,6.6038087103721175,6.64453831598786,6.644538315987858,6.595332396755433,6.505562942903342,6.563129645174658
ResNet50-SimCLR_selfsupervised,7.327867212705613,7.387623900092162,6.277369985593611,7.363998788512441,7.076353850530047,6.64453831598786,0.0,7.157614046658142,7.387623900092163,7.289766143538391,7.387623900092173,7.207842481845453,7.305820767391267,7.193207088392758,6.014220985555312,7.387623900092173,7.049746221539887,6.919339363217803,7.387623900092172,7.138162699887187,7.133588355774183,6.6326202958193,7.387623900092172,6.966657149925722,6.929130871351364,6.943124642423704,6.849129253672648,7.367033735727317,6.960579090998583,6.943040965181175,6.836817120342759,6.864047089966351
ResNet50-SwAV-BS4096-2x224_selfsupervised,7.157614046658142,7.157614046658143,6.277369985593611,7.157614046658142,7.022693478098046,6.64453831598786,7.157614046658142,0.0,7.157614046658142,7.157614046658142,7.157614046658146,7.1576140466581455,7.1576140466581455,7.1576140466581455,6.054259946026004,7.157614046658146,6.894705048204021,6.715005043336884,7.1576140466581455,7.155310517754858,6.888154118168855,6.6326202958193,7.1576140466581455,6.966657149925722,6.929130871351364,6.965383330268868,6.849129253672648,7.157614046658142,6.960579090998583,6.943040965181175,6.772247518245691,6.834752590403806
coat_lite_tiny_classification,7.414101019446017,7.772020909479169,6.277369985593611,7.363998788512441,7.076353850530047,6.64453831598786,7.387623900092163,7.157614046658142,0.0,7.289766143538389,7.772020909479171,7.207842481845453,7.305820767391267,7.193207088392758,5.872669104661837,7.772020909479171,7.206267343096539,6.939596098602981,7.771768941179679,7.198728162589863,7.276529032003011,6.6326202958193,7.467327764149643,6.966657149925722,6.929130871351364,7.239129478131826,6.849129253672648,7.540349348168379,6.960579090998583,6.943040965181175,6.836817120342759,6.864047089966351
convit_base_classification,7.180566644234251,7.289766143538392,6.277369985593611,7.289766143538391,7.076353850530047,6.64453831598786,7.289766143538391,7.157614046658142,7.289766143538389,0.0,7.28976614353839,7.207842481845453,7.134884672637515,7.193207088392758,5.790151427701212,7.28976614353839,6.9651965091028405,6.912428800784982,7.289766143538391,7.030203064897655,6.976673257478144,6.6326202958193,7.289766143538391,6.966657149925722,6.929130871351364,7.135203671181398,6.849129253672648,7.289766143538389,6.960579090998583,6.943040965181175,6.836817120342759,6.864047089966351
