model_name,layer_index,pc_index,alpha
nf_resnet50_classification,141,1,429193.42601287784
nf_resnet50_classification,141,2,202358.96477251555
nf_resnet50_classification,141,3,95409.54763499944
nf_resnet50_classification,141,4,202358.96477251555
nf_resnet50_classification,141,5,95409.54763499944
nf_resnet50_classification,141,6,202358.96477251555
nf_resnet50_classification,141,7,202358.96477251555
nf_resnet50_classification,141,8,202358.96477251555
nf_resnet50_classification,141,9,429193.42601287784
nf_resnet50_classification,141,10,429193.42601287784
nf_resnet50_classification,141,11,202358.96477251555
nf_resnet50_classification,141,12,429193.42601287784
nf_resnet50_classification,141,13,202358.96477251555
nf_resnet50_classification,141,14,429193.42601287784
nf_resnet50_classification,141,15,202358.96477251555
nf_resnet50_classification,141,16,429193.42601287784
nf_resnet50_classification,141,17,202358.96477251555
nf_resnet50_classification,141,18,429193.42601287784
nf_resnet50_classification,141,19,429193.42601287784
nf_resnet50_classification,141,20,202358.96477251555
nf_resnet50_classification,141,21,429193.42601287784
nf_resnet50_classification,141,22,429193.42601287784
nf_resnet50_classification,141,23,1930697.7288832497
nf_resnet50_classification,141,24,429193.42601287784
nf_resnet50_classification,141,25,429193.42601287784
nf_resnet50_classification,141,26,910298.1779915227
nf_resnet50_classification,141,27,429193.42601287784
nf_resnet50_classification,141,28,429193.42601287784
nf_resnet50_classification,141,29,429193.42601287784
nf_resnet50_classification,141,30,910298.1779915227
nf_resnet50_classification,141,31,429193.42601287784
nf_resnet50_classification,141,32,429193.42601287784
nf_resnet50_classification,141,33,202358.96477251555
nf_resnet50_classification,141,34,429193.42601287784
nf_resnet50_classification,141,35,202358.96477251555
nf_resnet50_classification,141,36,429193.42601287784
nf_resnet50_classification,141,37,910298.1779915227
nf_resnet50_classification,141,38,429193.42601287784
nf_resnet50_classification,141,39,429193.42601287784
nf_resnet50_classification,141,40,910298.1779915227
nf_resnet50_classification,141,41,429193.42601287784
nf_resnet50_classification,141,42,429193.42601287784
nf_resnet50_classification,141,43,429193.42601287784
nf_resnet50_classification,141,44,429193.42601287784
nf_resnet50_classification,141,45,429193.42601287784
nf_resnet50_classification,141,46,202358.96477251555
nf_resnet50_classification,141,47,429193.42601287784
nf_resnet50_classification,141,48,429193.42601287784
nf_resnet50_classification,141,49,429193.42601287784
nf_resnet50_classification,141,50,429193.42601287784
nf_resnet50_classification,141,51,429193.42601287784
nf_resnet50_classification,141,52,910298.1779915227
nf_resnet50_classification,141,53,429193.42601287784
nf_resnet50_classification,141,54,429193.42601287784
nf_resnet50_classification,141,55,910298.1779915227
nf_resnet50_classification,141,56,429193.42601287784
nf_resnet50_classification,141,57,202358.96477251555
nf_resnet50_classification,141,58,910298.1779915227
nf_resnet50_classification,141,59,429193.42601287784
nf_resnet50_classification,141,60,429193.42601287784
nf_resnet50_classification,141,61,910298.1779915227
nf_resnet50_classification,141,62,429193.42601287784
nf_resnet50_classification,141,63,429193.42601287784
nf_resnet50_classification,141,64,910298.1779915227
nf_resnet50_classification,141,65,910298.1779915227
nf_resnet50_classification,141,66,910298.1779915227
nf_resnet50_classification,141,67,910298.1779915227
nf_resnet50_classification,141,68,910298.1779915227
nf_resnet50_classification,141,69,429193.42601287784
nf_resnet50_classification,141,70,910298.1779915227
nf_resnet50_classification,141,71,910298.1779915227
nf_resnet50_classification,141,72,429193.42601287784
nf_resnet50_classification,141,73,910298.1779915227
nf_resnet50_classification,141,74,429193.42601287784
nf_resnet50_classification,141,75,429193.42601287784
nf_resnet50_classification,141,76,910298.1779915227
nf_resnet50_classification,141,77,910298.1779915227
nf_resnet50_classification,141,78,910298.1779915227
nf_resnet50_classification,141,79,910298.1779915227
nf_resnet50_classification,141,80,910298.1779915227
nf_resnet50_classification,141,81,910298.1779915227
nf_resnet50_classification,141,82,429193.42601287784
nf_resnet50_classification,141,83,429193.42601287784
nf_resnet50_classification,141,84,429193.42601287784
nf_resnet50_classification,141,85,910298.1779915227
nf_resnet50_classification,141,86,910298.1779915227
nf_resnet50_classification,141,87,429193.42601287784
nf_resnet50_classification,141,88,910298.1779915227
nf_resnet50_classification,141,89,1930697.7288832497
nf_resnet50_classification,141,90,429193.42601287784
nf_resnet50_classification,141,91,910298.1779915227
nf_resnet50_classification,141,92,429193.42601287784
nf_resnet50_classification,141,93,910298.1779915227
nf_resnet50_classification,141,94,910298.1779915227
nf_resnet50_classification,141,95,429193.42601287784
nf_resnet50_classification,141,96,910298.1779915227
nf_resnet50_classification,141,97,910298.1779915227
nf_resnet50_classification,141,98,429193.42601287784
eca_nfnet_l0_classification,134,1,429193.42601287784
eca_nfnet_l0_classification,134,2,95409.54763499944
eca_nfnet_l0_classification,134,3,95409.54763499944
eca_nfnet_l0_classification,134,4,202358.96477251555
eca_nfnet_l0_classification,134,5,95409.54763499944
eca_nfnet_l0_classification,134,6,202358.96477251555
eca_nfnet_l0_classification,134,7,95409.54763499944
eca_nfnet_l0_classification,134,8,202358.96477251555
eca_nfnet_l0_classification,134,9,202358.96477251555
eca_nfnet_l0_classification,134,10,202358.96477251555
eca_nfnet_l0_classification,134,11,202358.96477251555
eca_nfnet_l0_classification,134,12,429193.42601287784
eca_nfnet_l0_classification,134,13,202358.96477251555
eca_nfnet_l0_classification,134,14,202358.96477251555
eca_nfnet_l0_classification,134,15,202358.96477251555
eca_nfnet_l0_classification,134,16,202358.96477251555
eca_nfnet_l0_classification,134,17,202358.96477251555
eca_nfnet_l0_classification,134,18,202358.96477251555
eca_nfnet_l0_classification,134,19,202358.96477251555
eca_nfnet_l0_classification,134,20,202358.96477251555
eca_nfnet_l0_classification,134,21,429193.42601287784
eca_nfnet_l0_classification,134,22,429193.42601287784
eca_nfnet_l0_classification,134,23,429193.42601287784
eca_nfnet_l0_classification,134,24,202358.96477251555
eca_nfnet_l0_classification,134,25,429193.42601287784
eca_nfnet_l0_classification,134,26,429193.42601287784
eca_nfnet_l0_classification,134,27,429193.42601287784
eca_nfnet_l0_classification,134,28,429193.42601287784
eca_nfnet_l0_classification,134,29,202358.96477251555
eca_nfnet_l0_classification,134,30,429193.42601287784
eca_nfnet_l0_classification,134,31,429193.42601287784
eca_nfnet_l0_classification,134,32,202358.96477251555
eca_nfnet_l0_classification,134,33,202358.96477251555
eca_nfnet_l0_classification,134,34,429193.42601287784
eca_nfnet_l0_classification,134,35,202358.96477251555
eca_nfnet_l0_classification,134,36,202358.96477251555
eca_nfnet_l0_classification,134,37,429193.42601287784
eca_nfnet_l0_classification,134,38,202358.96477251555
eca_nfnet_l0_classification,134,39,202358.96477251555
eca_nfnet_l0_classification,134,40,429193.42601287784
eca_nfnet_l0_classification,134,41,202358.96477251555
eca_nfnet_l0_classification,134,42,202358.96477251555
eca_nfnet_l0_classification,134,43,429193.42601287784
eca_nfnet_l0_classification,134,44,202358.96477251555
eca_nfnet_l0_classification,134,45,202358.96477251555
eca_nfnet_l0_classification,134,46,202358.96477251555
eca_nfnet_l0_classification,134,47,429193.42601287784
eca_nfnet_l0_classification,134,48,429193.42601287784
eca_nfnet_l0_classification,134,49,429193.42601287784
eca_nfnet_l0_classification,134,50,202358.96477251555
eca_nfnet_l0_classification,134,51,202358.96477251555
eca_nfnet_l0_classification,134,52,429193.42601287784
eca_nfnet_l0_classification,134,53,429193.42601287784
eca_nfnet_l0_classification,134,54,429193.42601287784
eca_nfnet_l0_classification,134,55,429193.42601287784
eca_nfnet_l0_classification,134,56,429193.42601287784
eca_nfnet_l0_classification,134,57,202358.96477251555
