model_name,layer_index,pc_index,alpha
nf_resnet50_classification,141,1,82864277.28546843
nf_resnet50_classification,141,2,18420699.693267163
nf_resnet50_classification,141,3,18420699.693267163
nf_resnet50_classification,141,4,18420699.693267163
nf_resnet50_classification,141,5,18420699.693267163
nf_resnet50_classification,141,6,39069399.37054613
nf_resnet50_classification,141,7,39069399.37054613
nf_resnet50_classification,141,8,82864277.28546843
nf_resnet50_classification,141,9,39069399.37054613
nf_resnet50_classification,141,10,18420699.693267163
nf_resnet50_classification,141,11,39069399.37054613
nf_resnet50_classification,141,12,18420699.693267163
nf_resnet50_classification,141,13,82864277.28546843
nf_resnet50_classification,141,14,39069399.37054613
nf_resnet50_classification,141,15,39069399.37054613
nf_resnet50_classification,141,16,39069399.37054613
nf_resnet50_classification,141,17,39069399.37054613
nf_resnet50_classification,141,18,82864277.28546843
nf_resnet50_classification,141,19,39069399.37054613
nf_resnet50_classification,141,20,82864277.28546843
nf_resnet50_classification,141,21,82864277.28546843
nf_resnet50_classification,141,22,82864277.28546843
nf_resnet50_classification,141,23,39069399.37054613
nf_resnet50_classification,141,24,82864277.28546843
nf_resnet50_classification,141,25,39069399.37054613
nf_resnet50_classification,141,26,82864277.28546843
nf_resnet50_classification,141,27,39069399.37054613
nf_resnet50_classification,141,28,175751062.48547894
nf_resnet50_classification,141,29,82864277.28546843
nf_resnet50_classification,141,30,82864277.28546843
nf_resnet50_classification,141,31,39069399.37054613
nf_resnet50_classification,141,32,39069399.37054613
nf_resnet50_classification,141,33,82864277.28546843
nf_resnet50_classification,141,34,82864277.28546843
nf_resnet50_classification,141,35,39069399.37054613
nf_resnet50_classification,141,36,82864277.28546843
nf_resnet50_classification,141,37,82864277.28546843
nf_resnet50_classification,141,38,39069399.37054613
nf_resnet50_classification,141,39,82864277.28546843
nf_resnet50_classification,141,40,82864277.28546843
nf_resnet50_classification,141,41,82864277.28546843
nf_resnet50_classification,141,42,82864277.28546843
nf_resnet50_classification,141,43,82864277.28546843
nf_resnet50_classification,141,44,82864277.28546843
nf_resnet50_classification,141,45,39069399.37054613
nf_resnet50_classification,141,46,82864277.28546843
nf_resnet50_classification,141,47,82864277.28546843
nf_resnet50_classification,141,48,18420699.693267163
nf_resnet50_classification,141,49,82864277.28546843
nf_resnet50_classification,141,50,82864277.28546843
nf_resnet50_classification,141,51,39069399.37054613
nf_resnet50_classification,141,52,82864277.28546843
nf_resnet50_classification,141,53,39069399.37054613
nf_resnet50_classification,141,54,82864277.28546843
nf_resnet50_classification,141,55,82864277.28546843
nf_resnet50_classification,141,56,39069399.37054613
nf_resnet50_classification,141,57,82864277.28546843
nf_resnet50_classification,141,58,39069399.37054613
nf_resnet50_classification,141,59,175751062.48547894
nf_resnet50_classification,141,60,82864277.28546843
nf_resnet50_classification,141,61,82864277.28546843
nf_resnet50_classification,141,62,82864277.28546843
nf_resnet50_classification,141,63,82864277.28546843
nf_resnet50_classification,141,64,82864277.28546843
nf_resnet50_classification,141,65,39069399.37054613
nf_resnet50_classification,141,66,82864277.28546843
nf_resnet50_classification,141,67,82864277.28546843
nf_resnet50_classification,141,68,175751062.48547894
nf_resnet50_classification,141,69,82864277.28546843
nf_resnet50_classification,141,70,82864277.28546843
nf_resnet50_classification,141,71,82864277.28546843
nf_resnet50_classification,141,72,82864277.28546843
nf_resnet50_classification,141,73,82864277.28546843
nf_resnet50_classification,141,74,82864277.28546843
nf_resnet50_classification,141,75,175751062.48547894
nf_resnet50_classification,141,76,39069399.37054613
nf_resnet50_classification,141,77,82864277.28546843
nf_resnet50_classification,141,78,82864277.28546843
nf_resnet50_classification,141,79,82864277.28546843
nf_resnet50_classification,141,80,82864277.28546843
nf_resnet50_classification,141,81,82864277.28546843
nf_resnet50_classification,141,82,82864277.28546843
nf_resnet50_classification,141,83,82864277.28546843
nf_resnet50_classification,141,84,82864277.28546843
nf_resnet50_classification,141,85,82864277.28546843
nf_resnet50_classification,141,86,175751062.48547894
nf_resnet50_classification,141,87,82864277.28546843
nf_resnet50_classification,141,88,82864277.28546843
nf_resnet50_classification,141,89,82864277.28546843
nf_resnet50_classification,141,90,82864277.28546843
nf_resnet50_classification,141,91,82864277.28546843
nf_resnet50_classification,141,92,39069399.37054613
nf_resnet50_classification,141,93,175751062.48547894
nf_resnet50_classification,141,94,82864277.28546843
nf_resnet50_classification,141,95,82864277.28546843
nf_resnet50_classification,141,96,82864277.28546843
nf_resnet50_classification,141,97,82864277.28546843
nf_resnet50_classification,141,98,82864277.28546843
nf_resnet50_classification,141,99,372759372.0314938
nf_resnet50_classification,141,100,82864277.28546843
nf_resnet50_classification,141,101,82864277.28546843
nf_resnet50_classification,141,102,39069399.37054613
nf_resnet50_classification,141,103,82864277.28546843
nf_resnet50_classification,141,104,82864277.28546843
nf_resnet50_classification,141,105,82864277.28546843
nf_resnet50_classification,141,106,82864277.28546843
nf_resnet50_classification,141,107,82864277.28546843
nf_resnet50_classification,141,108,82864277.28546843
nf_resnet50_classification,141,109,82864277.28546843
nf_resnet50_classification,141,110,175751062.48547894
nf_resnet50_classification,141,111,175751062.48547894
nf_resnet50_classification,141,112,82864277.28546843
nf_resnet50_classification,141,113,82864277.28546843
nf_resnet50_classification,141,114,82864277.28546843
nf_resnet50_classification,141,115,82864277.28546843
nf_resnet50_classification,141,116,175751062.48547894
nf_resnet50_classification,141,117,82864277.28546843
nf_resnet50_classification,141,118,82864277.28546843
nf_resnet50_classification,141,119,82864277.28546843
nf_resnet50_classification,141,120,82864277.28546843
nf_resnet50_classification,141,121,175751062.48547894
nf_resnet50_classification,141,122,82864277.28546843
nf_resnet50_classification,141,123,82864277.28546843
nf_resnet50_classification,141,124,175751062.48547894
nf_resnet50_classification,141,125,82864277.28546843
nf_resnet50_classification,141,126,82864277.28546843
nf_resnet50_classification,141,127,82864277.28546843
nf_resnet50_classification,141,128,82864277.28546843
nf_resnet50_classification,141,129,82864277.28546843
nf_resnet50_classification,141,130,82864277.28546843
nf_resnet50_classification,141,131,82864277.28546843
nf_resnet50_classification,141,132,175751062.48547894
nf_resnet50_classification,141,133,82864277.28546843
nf_resnet50_classification,141,134,175751062.48547894
nf_resnet50_classification,141,135,175751062.48547894
nf_resnet50_classification,141,136,82864277.28546843
nf_resnet50_classification,141,137,175751062.48547894
nf_resnet50_classification,141,138,175751062.48547894
nf_resnet50_classification,141,139,82864277.28546843
nf_resnet50_classification,141,140,82864277.28546843
nf_resnet50_classification,141,141,82864277.28546843
nf_resnet50_classification,141,142,175751062.48547894
nf_resnet50_classification,141,143,82864277.28546843
nf_resnet50_classification,141,144,82864277.28546843
nf_resnet50_classification,141,145,175751062.48547894
nf_resnet50_classification,141,146,175751062.48547894
nf_resnet50_classification,141,147,175751062.48547894
nf_resnet50_classification,141,148,175751062.48547894
nf_resnet50_classification,141,149,175751062.48547894
nf_resnet50_classification,141,150,82864277.28546843
nf_resnet50_classification,141,151,82864277.28546843
nf_resnet50_classification,141,152,82864277.28546843
nf_resnet50_classification,141,153,175751062.48547894
nf_resnet50_classification,141,154,82864277.28546843
nf_resnet50_classification,141,155,175751062.48547894
nf_resnet50_classification,141,156,175751062.48547894
nf_resnet50_classification,141,157,175751062.48547894
nf_resnet50_classification,141,158,175751062.48547894
nf_resnet50_classification,141,159,82864277.28546843
nf_resnet50_classification,141,160,82864277.28546843
nf_resnet50_classification,141,161,175751062.48547894
nf_resnet50_classification,141,162,82864277.28546843
nf_resnet50_classification,141,163,82864277.28546843
nf_resnet50_classification,141,164,82864277.28546843
nf_resnet50_classification,141,165,82864277.28546843
nf_resnet50_classification,141,166,82864277.28546843
nf_resnet50_classification,141,167,82864277.28546843
nf_resnet50_classification,141,168,175751062.48547894
nf_resnet50_classification,141,169,82864277.28546843
nf_resnet50_classification,141,170,82864277.28546843
nf_resnet50_classification,141,171,175751062.48547894
nf_resnet50_classification,141,172,82864277.28546843
nf_resnet50_classification,141,173,82864277.28546843
nf_resnet50_classification,141,174,175751062.48547894
nf_resnet50_classification,141,175,82864277.28546843
nf_resnet50_classification,141,176,82864277.28546843
nf_resnet50_classification,141,177,372759372.0314938
nf_resnet50_classification,141,178,175751062.48547894
nf_resnet50_classification,141,179,82864277.28546843
nf_resnet50_classification,141,180,82864277.28546843
nf_resnet50_classification,141,181,175751062.48547894
nf_resnet50_classification,141,182,175751062.48547894
nf_resnet50_classification,141,183,175751062.48547894
nf_resnet50_classification,141,184,175751062.48547894
nf_resnet50_classification,141,185,175751062.48547894
nf_resnet50_classification,141,186,82864277.28546843
nf_resnet50_classification,141,187,175751062.48547894
nf_resnet50_classification,141,188,175751062.48547894
nf_resnet50_classification,141,189,175751062.48547894
nf_resnet50_classification,141,190,82864277.28546843
nf_resnet50_classification,141,191,175751062.48547894
nf_resnet50_classification,141,192,175751062.48547894
nf_resnet50_classification,141,193,175751062.48547894
nf_resnet50_classification,141,194,175751062.48547894
nf_resnet50_classification,141,195,82864277.28546843
nf_resnet50_classification,141,196,175751062.48547894
nf_resnet50_classification,141,197,175751062.48547894
nf_resnet50_classification,141,198,175751062.48547894
nf_resnet50_classification,141,199,82864277.28546843
nf_resnet50_classification,141,200,175751062.48547894
hardcorenas_f_classification,294,1,10000.0
hardcorenas_f_classification,294,2,10000.0
hardcorenas_f_classification,294,3,10000.0
hardcorenas_f_classification,294,4,10000.0
hardcorenas_f_classification,294,5,10000.0
hardcorenas_f_classification,294,6,10000.0
hardcorenas_f_classification,294,7,10000.0
hardcorenas_f_classification,294,8,10000.0
hardcorenas_f_classification,294,9,10000.0
hardcorenas_f_classification,294,10,10000.0
hardcorenas_f_classification,294,11,10000.0
hardcorenas_f_classification,294,12,10000.0
hardcorenas_f_classification,294,13,10000.0
hardcorenas_f_classification,294,14,10000.0
hardcorenas_f_classification,294,15,10000.0
hardcorenas_f_classification,294,16,10000.0
hardcorenas_f_classification,294,17,10000.0
hardcorenas_f_classification,294,18,10000.0
hardcorenas_f_classification,294,19,10000.0
hardcorenas_f_classification,294,20,10000.0
hardcorenas_f_classification,294,21,10000.0
hardcorenas_f_classification,294,22,10000.0
hardcorenas_f_classification,294,23,10000.0
hardcorenas_f_classification,294,24,10000.0
hardcorenas_f_classification,294,25,10000.0
hardcorenas_f_classification,294,26,10000.0
hardcorenas_f_classification,294,27,10000.0
hardcorenas_f_classification,294,28,10000.0
hardcorenas_f_classification,294,29,10000.0
hardcorenas_f_classification,294,30,10000.0
hardcorenas_f_classification,294,31,10000.0
hardcorenas_f_classification,294,32,10000.0
hardcorenas_f_classification,294,33,10000.0
hardcorenas_f_classification,294,34,10000.0
hardcorenas_f_classification,294,35,10000.0
hardcorenas_f_classification,294,36,10000.0
hardcorenas_f_classification,294,37,10000.0
hardcorenas_f_classification,294,38,10000.0
hardcorenas_f_classification,294,39,10000.0
hardcorenas_f_classification,294,40,10000.0
hardcorenas_f_classification,294,41,10000.0
