pc_index,heldout_component_variance,heldout_explained_variance_ratio,heldout_explained_variance_percent,heldout_cumulative_explained_variance_ratio,training_explained_variance_ratio
1,945.484,0.1196373,11.96373,0.1196373,0.12048427
2,843.74805,0.106764086,10.676409,0.22640139,0.10680075
3,399.40634,0.050539084,5.0539083,0.27694046,0.051409885
4,219.10614,0.027724707,2.7724707,0.30466518,0.030494362
5,169.21301,0.021411454,2.1411455,0.32607663,0.021298347
6,117.687775,0.014891682,1.4891682,0.3409683,0.01595602
7,87.20996,0.011035156,1.1035156,0.35200346,0.011776347
8,80.931984,0.01024077,1.0240769,0.36224422,0.010627647
9,76.18716,0.009640381,0.9640381,0.37188458,0.010107183
10,67.73342,0.008570683,0.8570683,0.38045526,0.008610887
11,62.380184,0.007893308,0.7893308,0.38834855,0.008153271
12,61.534725,0.007786328,0.7786328,0.39613488,0.0076272427
