pc_index,heldout_component_variance,heldout_explained_variance_ratio,heldout_explained_variance_percent,heldout_cumulative_explained_variance_ratio,training_explained_variance_ratio
1,945.4828,0.11963715,11.963715,0.11963715,0.120484225
2,843.748,0.10676408,10.676408,0.22640122,0.10680068
3,399.4065,0.050539106,5.0539107,0.27694035,0.051409893
4,219.10599,0.027724687,2.7724688,0.30466503,0.03049435
5,169.21294,0.021411445,2.1411445,0.32607648,0.021298354
6,117.68772,0.014891676,1.4891676,0.34096816,0.015956027
7,87.21001,0.011035163,1.1035163,0.35200334,0.011776361
8,80.93214,0.0102407895,1.024079,0.36224413,0.010627666
9,76.187126,0.009640377,0.9640377,0.3718845,0.010107192
10,67.7334,0.00857068,0.85706806,0.38045517,0.00861089
11,62.38018,0.007893308,0.7893308,0.38834846,0.0081532765
12,61.534714,0.0077863266,0.77863264,0.3961348,0.007627246
13,58.64016,0.0074200626,0.74200624,0.40355486,0.0072717657
14,48.712944,0.006163917,0.6163917,0.40971878,0.006750094
15,47.324535,0.005988234,0.5988234,0.41570702,0.0065010507
16,47.834866,0.0060528093,0.60528094,0.42175984,0.0060780547
17,49.912525,0.0063157068,0.6315707,0.42807555,0.0056787487
18,40.927525,0.005178785,0.5178785,0.43325433,0.0052131983
19,39.446236,0.0049913498,0.499135,0.43824568,0.005137461
20,38.754997,0.004903883,0.49038833,0.44314957,0.0049005058
21,32.202484,0.004074758,0.4074758,0.44722432,0.0044548265
22,30.480326,0.0038568436,0.38568437,0.45108116,0.004296843
23,31.135597,0.0039397585,0.39397585,0.4550209,0.0042767012
24,30.91708,0.0039121085,0.39121085,0.45893303,0.003921541
25,30.21529,0.003823307,0.38233072,0.46275634,0.0038131417
26,28.06597,0.0035513418,0.3551342,0.46630767,0.0036424906
27,27.691753,0.0035039901,0.35039902,0.46981165,0.0035205968
28,25.541395,0.0032318935,0.32318935,0.47304353,0.0034602194
29,26.284046,0.0033258651,0.33258653,0.4763694,0.003353034
30,25.228857,0.0031923463,0.31923464,0.47956175,0.0033144634
31,22.286991,0.0028200957,0.28200957,0.48238185,0.0030931772
32,23.38211,0.0029586672,0.29586673,0.4853405,0.0030786183
33,20.328829,0.0025723188,0.2572319,0.48791283,0.0028848243
34,19.122803,0.0024197137,0.24197136,0.49033254,0.0027614168
35,19.275084,0.0024389825,0.24389824,0.49277154,0.0026613534
36,16.601517,0.0021006814,0.21006814,0.4948722,0.002658339
37,18.237783,0.0023077272,0.23077272,0.49717993,0.0026076566
38,19.035757,0.0024086991,0.24086991,0.49958864,0.0025100685
39,20.479647,0.0025914025,0.25914025,0.50218004,0.0024842443
40,17.263277,0.0021844176,0.21844175,0.50436443,0.0024352283
41,17.63122,0.0022309753,0.22309753,0.50659543,0.0023563076
42,16.846468,0.0021316763,0.21316764,0.50872713,0.002297112
43,15.49434,0.0019605842,0.19605842,0.5106877,0.0022578198
44,17.793186,0.00225147,0.225147,0.51293916,0.0022078918
45,16.752764,0.0021198194,0.21198194,0.515059,0.0021169279
46,14.093996,0.001783391,0.1783391,0.51684237,0.002072286
47,15.060323,0.0019056656,0.19056655,0.51874804,0.002036481
48,14.814387,0.001874546,0.18745461,0.5206226,0.0020334565
49,14.194165,0.001796066,0.1796066,0.5224187,0.0019463024
50,14.580084,0.0018448983,0.18448983,0.52426356,0.0019004316
51,13.807146,0.0017470942,0.17470942,0.52601063,0.0018748383
52,12.732514,0.0016111152,0.16111152,0.52762175,0.0018207856
53,14.198337,0.0017965938,0.17965938,0.52941835,0.0018073762
54,12.101155,0.0015312259,0.15312259,0.5309496,0.0017747721
55,13.558399,0.001715619,0.1715619,0.5326652,0.0017449867
56,13.245139,0.0016759804,0.16759804,0.53434116,0.0016938725
57,12.366663,0.001564822,0.1564822,0.53590596,0.0016832405
58,12.21672,0.0015458488,0.15458488,0.5374518,0.0016652256
59,12.077282,0.001528205,0.1528205,0.53898,0.0016167503
60,11.779465,0.0014905205,0.14905205,0.54047054,0.0015662707
61,11.184934,0.0014152913,0.14152913,0.54188585,0.0015305597
62,12.115815,0.0015330808,0.15330808,0.54341894,0.0015058308
63,10.826149,0.0013698923,0.13698922,0.54478884,0.0014742509
64,9.925405,0.0012559161,0.1255916,0.54604477,0.0014397581
65,10.731315,0.0013578924,0.13578925,0.5474027,0.001437293
66,10.131125,0.0012819471,0.12819472,0.54868466,0.0014164809
67,10.130329,0.0012818463,0.12818463,0.5499665,0.0013934191
68,9.401593,0.0011896354,0.11896354,0.55115616,0.0013697455
69,9.5511055,0.001208554,0.120855406,0.5523647,0.0013570781
70,9.224435,0.0011672186,0.11672185,0.55353194,0.0013471702
71,9.554615,0.001208998,0.120899804,0.55474097,0.0013225089
72,9.810319,0.0012413537,0.12413537,0.5559823,0.0013004517
73,9.402841,0.0011897932,0.11897932,0.55717206,0.0012868934
74,9.163825,0.0011595492,0.11595492,0.5583316,0.0012739999
75,8.976734,0.0011358756,0.11358756,0.5594675,0.0012556452
76,8.19089,0.0010364385,0.10364385,0.56050396,0.0012418298
77,9.137888,0.0011562674,0.11562674,0.56166023,0.0012263105
78,9.249284,0.0011703628,0.11703628,0.56283057,0.0012166674
79,8.561222,0.0010832986,0.10832986,0.5639139,0.0011897259
80,8.8449335,0.0011191982,0.11191981,0.5650331,0.0011789043
81,8.717414,0.0011030624,0.11030624,0.5661361,0.0011613505
82,8.241871,0.0010428893,0.10428893,0.567179,0.0011314265
83,8.395294,0.0010623029,0.10623029,0.5682413,0.001122474
84,8.827131,0.0011169455,0.11169455,0.5693582,0.0011151569
85,8.037826,0.0010170704,0.10170704,0.5703753,0.001108862
86,8.112001,0.0010264562,0.10264562,0.5714018,0.0011004575
87,7.737257,0.0009790377,0.09790377,0.57238084,0.0010674042
88,8.051842,0.0010188438,0.10188439,0.57339966,0.0010567129
89,7.2502875,0.0009174188,0.09174188,0.5743171,0.0010514823
90,7.5947857,0.00096101005,0.09610101,0.5752781,0.0010384138
91,7.2619762,0.00091889786,0.091889784,0.576197,0.0010195485
92,7.6786795,0.0009716256,0.09716256,0.57716864,0.001007219
93,7.1297197,0.00090216275,0.09021627,0.5780708,0.0010006588
94,7.794518,0.0009862833,0.09862833,0.5790571,0.0009894627
95,6.968892,0.0008818123,0.08818123,0.5799389,0.0009844749
96,6.8026834,0.000860781,0.0860781,0.5807997,0.0009610915
97,6.650738,0.0008415545,0.08415545,0.58164126,0.00094394415
98,6.8546195,0.00086735276,0.08673528,0.5825086,0.00092998386
99,7.062063,0.00089360174,0.08936018,0.5834022,0.000927997
100,6.1511793,0.0007783426,0.07783426,0.58418053,0.00092701614
101,6.4083605,0.00081088516,0.08108851,0.5849914,0.000916496
102,6.061401,0.00076698244,0.07669824,0.5857584,0.0009001758
103,6.2427425,0.0007899286,0.07899286,0.5865483,0.0008783778
104,6.2147684,0.0007863889,0.07863889,0.5873347,0.00086966244
105,6.1984115,0.0007843191,0.07843191,0.58811903,0.00086504896
106,5.4866967,0.000694262,0.0694262,0.5888133,0.00084773626
107,6.103791,0.00077234633,0.07723463,0.58958566,0.00082994235
108,6.0067344,0.0007600652,0.076006524,0.59034574,0.00082674983
109,5.987389,0.00075761735,0.075761735,0.5911034,0.0007991885
110,5.671535,0.0007176506,0.07176506,0.591821,0.00079468463
111,6.1288824,0.0007755213,0.077552125,0.59259653,0.0007876476
112,5.8026853,0.00073424575,0.07342458,0.5933308,0.0007690973
113,5.6177864,0.0007108495,0.07108495,0.59404165,0.00076635345
114,5.2065206,0.00065880973,0.06588098,0.59470046,0.0007514104
115,5.6811976,0.0007188732,0.07188732,0.59541935,0.0007462414
116,4.419787,0.00055925996,0.055925995,0.5959786,0.0007396643
117,5.048824,0.0006388555,0.06388555,0.59661746,0.0007376409
118,5.026392,0.00063601707,0.06360171,0.5972535,0.00072636886
119,4.849001,0.0006135708,0.06135708,0.5978671,0.00071885914
120,5.5319624,0.0006999897,0.069998965,0.59856707,0.0007075298
121,5.299088,0.0006705228,0.06705228,0.5992376,0.00069808774
122,4.9116273,0.00062149524,0.062149525,0.5998591,0.0006935102
123,5.169999,0.00065418845,0.06541885,0.6005133,0.000689807
124,4.784864,0.0006054552,0.06054552,0.60111874,0.0006764457
125,5.074338,0.00064208393,0.064208396,0.6017608,0.0006663024
126,4.77054,0.0006036427,0.060364272,0.6023644,0.0006629524
127,4.7070355,0.00059560715,0.059560716,0.60296005,0.00066170725
128,4.1324034,0.0005228958,0.05228958,0.60348296,0.00065405265
129,4.268027,0.00054005696,0.054005697,0.60402304,0.0006356547
130,4.5214825,0.0005721281,0.05721281,0.6045952,0.0006310518
131,4.437194,0.0005614626,0.05614626,0.60515666,0.0006257822
132,4.294435,0.00054339855,0.054339856,0.6057001,0.00062064006
133,4.5540347,0.0005762471,0.057624713,0.60627633,0.00061870506
134,4.261304,0.00053920626,0.053920627,0.6068155,0.0006039486
135,3.8429015,0.00048626348,0.04862635,0.6073018,0.0006030198
136,4.1144156,0.0005206197,0.052061968,0.6078224,0.00059782394
137,4.011559,0.0005076047,0.050760467,0.60833,0.0005949133
138,4.3201203,0.00054664863,0.054664865,0.60887665,0.00058846397
139,3.8445966,0.000486478,0.048647802,0.60936314,0.0005770167
140,4.279227,0.00054147415,0.054147415,0.6099046,0.0005732476
141,3.6561015,0.00046262666,0.046262667,0.61036724,0.0005695462
142,4.1780863,0.00052867626,0.052867625,0.61089593,0.0005643119
143,3.7635274,0.00047621987,0.047621988,0.6113722,0.00055819796
144,3.7133927,0.00046987605,0.046987604,0.61184204,0.0005537668
145,3.6685436,0.00046420103,0.046420105,0.61230624,0.00055053417
146,4.001206,0.00050629466,0.050629467,0.6128125,0.0005449368
147,3.696488,0.00046773697,0.0467737,0.61328024,0.00054043194
148,3.6158023,0.00045752738,0.045752738,0.61373776,0.00053758547
149,3.7806761,0.0004783898,0.04783898,0.61421615,0.0005346296
150,3.7516158,0.0004747126,0.047471263,0.61469084,0.0005336294
151,3.5580468,0.00045021926,0.045021925,0.61514103,0.0005274162
152,3.4551084,0.0004371939,0.04371939,0.61557823,0.00052027067
153,3.3390555,0.0004225091,0.04225091,0.6160008,0.0005164849
154,3.5828989,0.00045336393,0.04533639,0.6164541,0.000511136
155,3.4922516,0.00044189385,0.044189386,0.61689603,0.00050926436
156,3.3103821,0.0004188809,0.041888088,0.61731493,0.000502191
157,3.2372162,0.0004096228,0.04096228,0.61772454,0.0005002574
158,3.278223,0.00041481163,0.041481163,0.6181393,0.00049634336
159,3.2025232,0.00040523292,0.04052329,0.6185446,0.00049328094
160,3.4014385,0.00043040275,0.043040276,0.618975,0.00049068837
161,3.2392604,0.00040988147,0.040988147,0.6193849,0.0004862208
162,3.206985,0.00040579747,0.040579747,0.6197907,0.00048257344
163,3.224395,0.00040800046,0.040800046,0.62019867,0.00048066984
164,2.979701,0.000377038,0.0377038,0.6205757,0.0004801046
165,3.1621573,0.0004001252,0.04001252,0.62097585,0.00047350675
166,2.8247492,0.0003574311,0.03574311,0.6213333,0.00047171456
167,2.936111,0.0003715223,0.03715223,0.6217048,0.00046810514
168,3.0958917,0.00039174024,0.039174024,0.62209654,0.0004626148
169,3.0574896,0.000386881,0.0386881,0.62248343,0.00046170288
170,2.9673934,0.00037548062,0.03754806,0.62285894,0.00046023875
171,2.8149173,0.000356187,0.0356187,0.62321514,0.00045260251
172,2.7949333,0.0003536583,0.03536583,0.6235688,0.00044808871
173,2.7519164,0.00034821514,0.034821514,0.623917,0.0004455217
174,2.9271944,0.00037039403,0.037039403,0.62428737,0.0004450297
175,2.9537096,0.00037374915,0.037374914,0.6246611,0.00043802074
176,2.6757097,0.00033857228,0.033857226,0.62499964,0.00043757344
177,3.0176764,0.00038184322,0.038184322,0.62538147,0.00043387507
178,2.6790977,0.00033900098,0.033900097,0.62572044,0.00043192707
179,2.70957,0.0003428568,0.03428568,0.6260633,0.00042869642
180,2.4691062,0.00031242962,0.031242963,0.62637573,0.0004280394
181,2.6361587,0.00033356767,0.033356767,0.6267093,0.00042344595
182,2.586729,0.0003273131,0.03273131,0.6270366,0.00041789023
183,2.8743813,0.0003637113,0.03637113,0.6274003,0.0004171697
