pc_index,heldout_component_variance,heldout_explained_variance_ratio,heldout_explained_variance_percent,heldout_cumulative_explained_variance_ratio,training_explained_variance_ratio
1,1891.994,0.1608846,16.08846,0.1608846,0.16145925
2,1454.8306,0.12371067,12.371067,0.28459528,0.12302831
3,707.08405,0.06012648,6.012648,0.34472176,0.059178658
4,428.30502,0.03642067,3.642067,0.38114244,0.039816868
5,328.4796,0.027932072,2.7932072,0.40907452,0.026967814
6,198.16199,0.016850589,1.6850588,0.4259251,0.017860312
7,191.81798,0.01631113,1.6311129,0.44223624,0.016017137
8,140.34636,0.011934271,1.1934271,0.45417053,0.0128933275
9,141.54987,0.01203661,1.2036611,0.46620715,0.011578119
10,116.55139,0.00991088,0.991088,0.47611803,0.009623268
11,97.88989,0.00832401,0.83240104,0.48444203,0.009221997
12,97.13743,0.008260025,0.8260025,0.49270204,0.008827955
13,87.32561,0.007425682,0.7425682,0.50012773,0.008307224
14,95.16701,0.0080924705,0.809247,0.5082202,0.00768815
15,86.58088,0.0073623545,0.73623544,0.51558256,0.0070759114
16,80.3592,0.0068332977,0.68332976,0.5224159,0.007018311
17,78.33954,0.006661557,0.6661557,0.5290774,0.006671116
18,66.937065,0.0056919544,0.56919545,0.53476936,0.006345333
19,70.00564,0.0059528886,0.5952889,0.54072225,0.006174467
20,66.94934,0.005692998,0.5692998,0.54641527,0.0058014696
21,61.115036,0.0051968815,0.5196881,0.55161214,0.005561126
22,58.46731,0.004971734,0.49717337,0.5565839,0.0052736397
23,57.92871,0.004925934,0.4925934,0.5615098,0.005112832
24,51.668594,0.004393609,0.4393609,0.5659034,0.0048564957
25,52.50161,0.004464444,0.4464444,0.5703679,0.004775092
26,53.065998,0.004512436,0.4512436,0.5748803,0.0045223986
27,50.258022,0.0042736614,0.42736614,0.57915395,0.0043793987
28,47.05897,0.0040016323,0.40016323,0.5831556,0.004205688
29,50.231365,0.004271395,0.4271395,0.58742696,0.0040780795
30,45.344055,0.0038558051,0.3855805,0.5912828,0.0038038308
31,41.070267,0.003492386,0.3492386,0.5947752,0.0037999763
32,38.431385,0.0032679904,0.32679904,0.5980432,0.0036134496
33,38.12419,0.0032418685,0.32418683,0.6012851,0.003443368
34,38.211895,0.0032493263,0.32493263,0.60453445,0.0033243087
35,39.552883,0.0033633562,0.33633563,0.6078978,0.0032119001
36,33.386387,0.0028389918,0.2838992,0.6107368,0.0030288983
37,35.104404,0.0029850826,0.29850826,0.61372185,0.003018736
38,32.94958,0.0028018483,0.28018484,0.6165237,0.0029354023
39,34.40548,0.0029256498,0.292565,0.6194493,0.0029047027
40,29.983322,0.0025496143,0.25496143,0.6219989,0.0027832722
41,30.288624,0.0025755754,0.25755754,0.6245745,0.0026756173
42,32.046448,0.002725051,0.2725051,0.62729955,0.0025925874
43,26.186956,0.0022267925,0.22267926,0.6295263,0.002543935
44,27.119556,0.0023060956,0.23060955,0.6318324,0.0025000188
