pc_index,heldout_component_variance,heldout_explained_variance_ratio,heldout_explained_variance_percent,heldout_cumulative_explained_variance_ratio,training_explained_variance_ratio
1,1891.9938,0.16088459,16.088459,0.16088459,0.16145925
2,1454.8308,0.12371069,12.371069,0.28459528,0.12302831
3,707.08417,0.06012649,6.012649,0.34472176,0.059178658
4,428.30505,0.03642067,3.642067,0.38114244,0.039816868
5,328.4797,0.02793208,2.793208,0.40907452,0.026967814
6,198.16203,0.016850593,1.6850593,0.4259251,0.017860314
7,191.81808,0.016311139,1.6311139,0.44223624,0.01601714
8,140.34634,0.011934269,1.193427,0.45417053,0.012893326
9,141.54994,0.012036617,1.2036617,0.46620715,0.011578124
10,116.551315,0.009910873,0.9910873,0.47611803,0.009623272
11,97.89002,0.008324021,0.83240205,0.48444206,0.009221997
12,97.13745,0.008260027,0.82600266,0.49270207,0.008827956
13,87.32559,0.0074256808,0.7425681,0.50012773,0.008307225
14,95.16719,0.008092486,0.8092486,0.5082202,0.00768815
15,86.580894,0.007362356,0.7362356,0.51558256,0.0070759146
16,80.35928,0.0068333047,0.6833305,0.5224159,0.007018317
17,78.33965,0.0066615664,0.66615665,0.5290775,0.0066711223
18,66.93705,0.005691953,0.5691953,0.5347694,0.006345333
19,70.0056,0.0059528854,0.5952885,0.5407223,0.006174462
20,66.94939,0.005693002,0.56930023,0.5464153,0.00580147
21,61.115017,0.0051968796,0.51968795,0.5516122,0.005561126
22,58.46721,0.004971725,0.4971725,0.55658394,0.0052736397
23,57.92878,0.0049259397,0.49259397,0.5615099,0.0051128324
24,51.668602,0.0043936092,0.43936092,0.56590354,0.0048564957
25,52.501625,0.004464445,0.4464445,0.570368,0.004775092
26,53.065964,0.0045124334,0.45124334,0.5748804,0.0045224
27,50.258007,0.0042736605,0.42736605,0.5791541,0.0043793987
28,47.05897,0.0040016323,0.40016323,0.5831557,0.00420569
29,50.23134,0.0042713927,0.42713928,0.5874271,0.004078081
30,45.344364,0.0038558315,0.38558313,0.5912829,0.0038038308
31,41.069916,0.0034923563,0.34923562,0.59477526,0.0037999747
32,38.431404,0.003267992,0.3267992,0.59804326,0.0036134496
33,38.12417,0.0032418664,0.32418662,0.6012851,0.0034433655
34,38.211926,0.0032493288,0.32493287,0.60453445,0.0033243108
35,39.55292,0.0033633595,0.33633596,0.6078978,0.0032118983
36,33.386402,0.0028389932,0.2838993,0.6107368,0.0030288973
37,35.104424,0.0029850842,0.2985084,0.61372185,0.003018736
38,32.949635,0.002801853,0.2801853,0.6165237,0.0029354019
39,34.40545,0.0029256472,0.29256472,0.6194493,0.0029047027
40,29.983326,0.0025496145,0.25496146,0.6219989,0.0027832722
41,30.288626,0.0025755756,0.25755757,0.6245745,0.0026756192
42,32.04645,0.0027250513,0.27250513,0.62729955,0.00259259
43,26.186857,0.0022267841,0.22267841,0.6295263,0.002543935
44,27.119673,0.0023061056,0.23061055,0.6318324,0.0025000193
45,29.489346,0.0025076093,0.25076094,0.63434005,0.0024319827
46,25.441366,0.0021633918,0.21633919,0.63650346,0.0023991931
47,24.701067,0.002100441,0.21004409,0.6386039,0.0022891418
48,23.104155,0.0019646483,0.19646482,0.64056855,0.0022451838
49,26.000357,0.002210925,0.2210925,0.64277947,0.0022394592
50,26.124266,0.0022214616,0.22214617,0.64500093,0.002148773
51,22.87218,0.0019449226,0.19449227,0.64694583,0.0020714034
52,23.157503,0.0019691847,0.19691847,0.648915,0.0020305642
53,22.834448,0.001941714,0.1941714,0.65085673,0.0020202254
54,21.693851,0.0018447239,0.1844724,0.65270144,0.0019684406
55,19.679714,0.001673453,0.1673453,0.6543749,0.0019188253
56,21.116667,0.0017956435,0.17956434,0.65617055,0.0018763037
57,21.51919,0.0018298718,0.18298718,0.6580004,0.0018593174
58,21.483934,0.0018268739,0.18268739,0.6598273,0.0018166748
59,19.167843,0.0016299264,0.16299264,0.66145724,0.0017373812
60,19.191137,0.0016319072,0.16319072,0.66308916,0.0017149324
61,18.956863,0.0016119858,0.16119859,0.66470116,0.0016689748
62,17.631739,0.0014993045,0.14993045,0.66620046,0.0016422531
63,17.4341,0.0014824985,0.14824985,0.66768295,0.0016029943
64,16.42289,0.0013965109,0.13965109,0.6690795,0.0015750977
65,18.742523,0.0015937595,0.15937595,0.67067325,0.0015709475
66,16.295797,0.0013857036,0.13857035,0.67205894,0.0015253435
67,16.433577,0.0013974196,0.13974196,0.6734564,0.0014932198
68,17.144367,0.0014578613,0.14578612,0.67491424,0.0014787662
69,15.490162,0.0013171969,0.1317197,0.67623144,0.0014494867
70,17.031435,0.0014482582,0.14482582,0.6776797,0.0014177493
71,17.081175,0.0014524878,0.14524877,0.6791322,0.0014111772
72,14.258634,0.0012124745,0.121247455,0.6803447,0.0013692715
73,15.203989,0.0012928623,0.12928623,0.6816376,0.0013356247
74,14.610607,0.0012424045,0.12424044,0.68288,0.0013138101
75,14.390662,0.0012237015,0.12237015,0.68410367,0.0012912127
76,14.909698,0.0012678375,0.12678374,0.6853715,0.0012671683
77,13.454961,0.0011441348,0.11441348,0.6865156,0.0012466292
78,13.988077,0.001189468,0.1189468,0.6877051,0.0012368963
79,13.334444,0.0011338866,0.113388665,0.68883896,0.0012281344
80,14.134181,0.0012018918,0.12018918,0.6900408,0.0011962783
81,12.732082,0.0010826652,0.10826652,0.6911235,0.0011908637
82,13.921915,0.001183842,0.1183842,0.69230735,0.0011706903
83,12.412979,0.0010555304,0.10555304,0.6933629,0.001157903
84,12.661098,0.001076629,0.1076629,0.69443953,0.0011178394
85,11.706473,0.0009954531,0.09954531,0.695435,0.0011084997
86,13.17328,0.0011201821,0.11201821,0.6965552,0.0010876908
87,11.920983,0.0010136939,0.10136939,0.6975689,0.001081916
88,11.778798,0.0010016032,0.10016032,0.6985705,0.0010715679
89,12.131823,0.0010316224,0.103162244,0.6996021,0.0010619841
90,11.196188,0.0009520613,0.095206134,0.7005542,0.0010453532
91,11.383849,0.00096801895,0.09680189,0.70152223,0.0010391541
92,11.081341,0.00094229536,0.094229534,0.7024645,0.0010215048
93,10.83194,0.0009210877,0.09210877,0.7033856,0.0010045699
94,11.507435,0.000978528,0.097852804,0.7043641,0.0009857437
95,10.175817,0.0008652946,0.08652946,0.7052294,0.000979843
96,10.705929,0.0009103724,0.09103724,0.7061398,0.0009689904
97,10.534254,0.00089577417,0.089577414,0.7070356,0.0009661244
