n_samples,n_features,true_rank,loading_corr,noise_std,seed,estimated_rank,rank_error,is_success,is_underfit,is_overfit,method,method_cv,runtime_seconds,wrapper_status,error_message
50,50,1,0.0,0.01,0,1,0,True,False,False,EM,Kfold,6.206649697000103,ok,
50,50,1,0.0,0.01,1,3,2,False,False,True,EM,Kfold,5.850965390996862,ok,
50,50,1,0.0,0.01,2,1,0,True,False,False,EM,Kfold,10.30093898099949,ok,
50,50,1,0.0,0.1,0,1,0,True,False,False,EM,Kfold,3.033806872997957,ok,
50,50,1,0.0,0.1,1,1,0,True,False,False,EM,Kfold,2.517131671997049,ok,
50,50,1,0.0,0.1,2,1,0,True,False,False,EM,Kfold,2.2929846279985213,ok,
50,50,1,0.9,0.01,0,1,0,True,False,False,EM,Kfold,6.228114466000989,ok,
50,50,1,0.9,0.01,1,3,2,False,False,True,EM,Kfold,5.845253676998254,ok,
50,50,1,0.9,0.01,2,1,0,True,False,False,EM,Kfold,13.653317786000116,ok,
50,50,1,0.9,0.1,0,1,0,True,False,False,EM,Kfold,3.0082010949990945,ok,
50,50,1,0.9,0.1,1,1,0,True,False,False,EM,Kfold,2.2557464519995847,ok,
50,50,1,0.9,0.1,2,1,0,True,False,False,EM,Kfold,2.220388362999074,ok,
50,50,3,0.0,0.01,0,3,0,True,False,False,EM,Kfold,4.629937540998071,ok,
50,50,3,0.0,0.01,1,3,0,True,False,False,EM,Kfold,2.887880717000371,ok,
50,50,3,0.0,0.01,2,3,0,True,False,False,EM,Kfold,5.624977824001689,ok,
50,50,3,0.0,0.1,0,3,0,True,False,False,EM,Kfold,2.9027659020030114,ok,
50,50,3,0.0,0.1,1,3,0,True,False,False,EM,Kfold,2.614906026999961,ok,
50,50,3,0.0,0.1,2,3,0,True,False,False,EM,Kfold,2.40840067499812,ok,
50,50,3,0.9,0.01,0,3,0,True,False,False,EM,Kfold,8.518380854002316,ok,
50,50,3,0.9,0.01,1,3,0,True,False,False,EM,Kfold,4.932924611002818,ok,
50,50,3,0.9,0.01,2,3,0,True,False,False,EM,Kfold,11.35021804599819,ok,
50,50,3,0.9,0.1,0,3,0,True,False,False,EM,Kfold,1.827441973000532,ok,
50,50,3,0.9,0.1,1,3,0,True,False,False,EM,Kfold,2.465179809998517,ok,
50,50,3,0.9,0.1,2,3,0,True,False,False,EM,Kfold,2.4395000640033686,ok,
